,importance
term,5.502083505642732
balance_accounts,5.14132507633677
level,4.956824739902506
interest_rate,4.909463329284783
grade,4.165241911162497
balance,3.595783102584736
issue_time,3.2136251379544447
utilization,3.1621026864766253
accounts_ratio,3.0226559362737624
issue_time_days,2.968441024361659
balance_limit,2.9578684254899925
title,2.6372867413280807
loan,2.567440034572261
zip_code,2.5649513090841127
diff_issue_record_days,2.418420154557443
residence,2.4093448340308212
tx_frequency,2.399622496196171
diff_record_history_days,2.383918321228436
record_time,2.200636998268018
net_income,2.181577016208011
diff_issue_history_days,2.166075694352833
expense_std,2.1224235844546087
record_time_days,1.8787816745335841
last_tx_days_ago,1.8269944821532775
total_accounts,1.7567087006606517
avg_expense,1.6641196589847795
history_time_days,1.6516747166722126
span_days,1.634554254626432
history_time,1.6283323465490198
career,1.6257652976450339
avg_income,1.6204298624841655
median_income,1.543136928491324
first_tx_days_ago,1.5413194090372513
income_std,1.3615538550383088
subgrade,1.3438590253605185
median_expense,1.2606837201697225
income_expense_ratio,1.1774879302814616
total_income,1.12151354199199
active_days,0.8890504803283008
expense_count,0.876465928443338
total_tx_count,0.869270987689371
total_expense,0.8545198336507596
big_income_ratio,0.6225992798603903
income_count,0.5782975942594192
big_income_count,0.523157982870669
installment,0.22121545615170066
stm_missing,0.16183835244610692
syndicated,0.11955663986891414
