feature,importance
level,7.926011332002545
interest_rate,6.742031791187441
balance_accounts,6.5532668060899315
term,5.895677794705464
net_income,3.583141824878467
title,3.468077612350787
residence,3.2387466308147452
median_income,3.070207585671936
tx_frequency,3.029459664047412
issue_time_days,2.8605337915637747
grade,2.7672876410210643
diff_record_history_days,2.691451241701462
balance_limit,2.6097781412539147
career,2.6005100306717894
issue_time,2.566699646705022
expense_std,2.4449498588250203
avg_income,2.277807392842142
diff_issue_history_days,2.2434375039461365
record_time_days,2.1957031019594337
last_tx_days_ago,2.1213717469517355
accounts_ratio,2.1124121934044466
balance,2.0895851001430414
first_tx_days_ago,1.9333771272410367
record_time,1.8969327735462553
avg_expense,1.8518108613893454
diff_issue_record_days,1.5960227513023946
utilization,1.5736464023567993
loan,1.4970135577162351
stm_missing,1.3793578666547741
history_time,1.3645504460765119
total_accounts,1.2151191352495
zip_code,1.1556186165033313
income_std,0.978033700998193
median_expense,0.9163620113460323
income_expense_ratio,0.8929353065641401
history_time_days,0.8289113254264903
span_days,0.8265303710720694
big_income_count,0.7619945207858267
active_days,0.7217949255103837
expense_count,0.7048635429955057
total_tx_count,0.5597655511659727
total_income,0.5467682572458742
total_expense,0.47132735141338306
subgrade,0.45441547521943804
income_count,0.26271604430885903
installment,0.22802108719274772
big_income_ratio,0.196972674676173
syndicated,0.09698988330499254
