id,title,career,zip_code,residence,loan,term,interest_rate,issue_time,syndicated,installment,record_time,history_time,total_accounts,balance_accounts,balance_limit,balance,level
53480,10,5,512068,0,5950,36,14.1,1054600001,0,0,1054600080,795400642,17,9,10100,8233,B0
53481,8,10,401852,2,15350,36,5.25,1172880047,0,0,1172882338,756003297,17,9,58600,23460,A0
53482,8,10,321693,0,11050,36,13.65,1238631003,0,0,1277511093,658715225,17,9,15500,7853,B1
53483,8,7,231397,0,15350,36,14.2,1136161107,0,0,1198371199,774316843,17,9,10100,5815,B2
53484,7,7,171193,0,7800,36,10,1214960354,0,1,1214957804,832207268,17,9,13100,8225,A3
53485,9,3,221376,0,5950,36,11.55,1204417739,0,0,1204419380,826936556,17,9,16200,11802,A4
53486,10,8,181224,1,26100,36,14,1078186149,0,1,1088555085,611280090,17,9,40300,23037,A5
53487,10,0,311666,1,23000,36,19.15,1214959190,0,0,1269391941,727144279,17,9,20000,12155,B4
53488,9,10,331714,0,21300,60,15.05,1099354738,0,0,1127867032,663986371,17,9,22800,17368,B1
53489,9,10,401865,2,10400,36,9.75,1112403054,0,0,1112401649,245809596,17,9,64200,17383,A3
53490,9,10,241462,0,10400,36,9.1,1157157214,0,1,1177891713,679710337,17,9,16200,8235,A3
53491,10,7,221381,1,21300,60,16.95,1094085324,0,0,1148516936,874369197,17,9,17400,14996,B2
53492,10,10,311681,1,15350,36,13.6,1172881737,0,1,1172883017,740192029,17,9,29800,19158,B1
53493,9,4,211341,0,15350,60,14.05,1117672219,0,0,1169513871,863741687,17,9,21300,11156,B1
53494,9,3,361789,1,12950,60,19.35,1099355508,0,1,1205626628,821839280,17,9,7500,5969,B4
53495,7,10,101003,1,5200,36,17.95,1180830124,0,0,1180831847,403577484,16,8,26400,19335,B3
53496,8,0,401852,0,10400,36,16.45,1109724220,0,0,1140828522,826934726,16,8,10800,7369,B3
53497,7,2,401852,1,16500,60,24.85,1178151654,0,0,1284425439,848103742,16,8,11100,8438,C5
53498,6,10,181235,1,10400,36,13.1,1170376348,0,1,1170376867,763779477,16,8,16000,14955,B1
53499,9,10,171200,1,15350,36,19.05,1222908187,0,0,1222905825,272074784,16,8,47800,28181,B4
53500,8,3,221376,1,11050,36,11.8,1117670568,0,1,1135816423,882233636,16,8,24300,10223,A4
53501,7,8,271557,0,21300,36,7.95,1167697908,0,0,1248048002,656038746,16,8,12500,3310,A2
53502,7,4,281584,2,33050,36,14.85,1194050241,0,1,1194050830,606012528,16,8,81600,61991,B2
53503,8,0,482002,1,11050,36,17.25,1225585979,0,0,1292979013,640224148,16,8,9000,3982,B3
53504,8,0,532106,1,8900,36,11,1101948795,0,1,1140828186,732240831,16,8,15300,6130,A3
53505,6,,532106,0,29900,36,14.3,1094086083,0,0,1107045930,729824087,16,8,35500,26775,B1
53506,6,3,361785,1,10400,36,9.15,1128213173,0,0,1161907496,569376308,16,8,23100,6853,A3
53507,10,8,311661,0,25500,60,9.45,1136160028,0,0,1283906871,732241402,16,8,13300,1904,A3
53508,6,0,391835,0,29900,60,9.45,1209686500,0,0,1253752791,850696635,16,8,39900,23056,A3
53509,7,4,231396,1,10400,36,13.9,1151799342,0,0,1211416083,577154284,16,8,12500,4319,B2
53510,6,,321695,0,2850,36,5.25,1235952168,0,1,1277425803,766455779,16,8,40600,1784,A0
53511,9,0,231403,1,10400,36,12.25,1157157618,0,0,1224550756,897958251,16,8,8500,3406,B0
53512,6,8,181236,0,15950,36,11.45,1141258251,0,0,1203466236,727144732,16,8,10200,6105,A5
