id,title,career,zip_code,residence,loan,term,interest_rate,issue_time,syndicated,installment,record_time,history_time,total_accounts,balance_accounts,balance_limit,balance,level
73534,1,9.0,601703,1,11000,12,30.35,1181433600,0,0,1120521600,1072137600,8,4,4185.0,2605.26,B1
73535,0,9.0,601305,1,8000,12,11.9,1183075200,0,0,1131580800,1086652800,3,2,1404.0,817.61,A3
73536,8,4.0,181233,1,10400,36,17.9,1191372840,0,0,1191372898,853373899,15,7,29000.0,18479.0,B3
73537,2,5.0,602303,1,9000,12,18.15,1173225600,0,0,1150848000,1013472000,2,1,1071.0,837.5,B0
73538,8,10.0,241459,2,10400,36,13.25,1143937352,0,1,1211328118,59185761,37,13,18300.0,3275.0,B1
73539,0,7.0,602502,1,10000,12,23.5,1188345600,0,0,1139270400,1066521600,11,5,4732.0,2582.54,A5
73540,0,10.0,601409,1,8000,12,25.15,1151884800,0,0,1152403200,1083542400,4,3,1815.0,1415.13,B2
73541,10,10.0,181233,1,33050,36,24.65,1209689621,0,1,1266712352,750732535,19,7,24500.0,17293.0,C3
73542,0,9.0,601407,1,8000,12,16.5,1143331200,0,0,1104969600,1076371200,5,2,1432.0,796.56,C1
73543,9,2.0,301653,0,23000,60,9.25,1170377295,0,0,1268871630,545616191,25,11,22000.0,10185.0,A3
73544,6,10.0,522090,0,5200,36,11.4,1204416711,0,1,1204418843,800670132,20,10,12600.0,6987.0,A4
73545,0,8.0,602908,3,9000,12,11.25,1159920000,0,0,1143072000,1041465600,8,5,3264.0,3114.29,A3
73546,10,10.0,101010,1,20900,36,16.05,1212367963,0,0,1243471098,848102899,27,11,27900.0,15332.0,B2
73547,0,1.0,601609,1,10000,12,22.3,1192406400,0,0,1112918400,1021593600,2,1,1630.0,992.25,B1
73548,0,7.0,601607,2,13000,12,23.4,1148428800,0,0,1161043200,1007769600,7,3,4522.0,3398.13,A3
73549,0,10.0,602200,1,8000,12,13.5,1190592000,0,0,1135728000,1018137600,5,2,1448.0,772.46,A4
73550,10,10.0,121063,0,10400,36,6.55,1180832342,0,1,1193789620,527213196,20,13,69900.0,8798.0,A1
73551,1,10.0,602205,1,11000,12,30.55,1182729600,0,0,1123891200,1070928000,9,6,8640.0,4786.35,A0
73552,8,7.0,291613,0,5200,36,11.35,1196640867,0,0,1196642426,848102664,19,10,6700.0,5299.0,A4
73553,0,0.0,601106,1,11000,12,22.85,1173916800,0,0,1100995200,1013644800,1,1,2001.0,1052.82,A2
73554,8,8.0,461968,1,5300,36,9.4,1183423894,0,1,1183422436,858471675,20,11,13300.0,9944.0,A3
73555,10,5.0,221373,0,7000,60,11.05,1009930244,0,1,1053994250,695606821,26,15,15500.0,5449.0,A5
73556,0,1.0,602604,2,11000,12,20.65,1137283200,0,0,1146873600,1013990400,1,1,1242.0,1039.28,B4
73557,10,2.0,552152,0,20900,60,16.2,1051922228,0,0,1173747216,732243137,27,11,13500.0,6098.0,B2
73558,0,5.0,602708,1,11000,12,6.65,1161820800,0,0,1142380800,1059868800,2,1,1430.0,1030.76,A5
73559,0,10.0,602703,1,10000,12,28.35,1182297600,0,0,1107734400,1033516800,3,3,3772.0,2298.74,B2
73560,0,10.0,601800,1,9000,12,14.55,1186963200,0,0,1157587200,1040515200,5,2,3330.0,1775.07,B3
73561,0,0.0,601705,1,8000,12,16.25,1146355200,0,0,1121644800,1078272000,4,2,1536.0,796.56,A2
73562,7,3.0,241473,0,33050,60,11.55,1136161753,0,0,1141345541,674439623,36,13,65300.0,34456.0,A4
73563,0,10.0,602606,1,10000,12,22.0,1133136000,0,0,1111968000,1054339200,7,3,4316.0,2509.86,B0
73564,0,4.0,601401,1,9000,12,11.05,1165881600,0,0,1105056000,1015200000,12,6,7011.0,4073.82,D1
