iter	Logloss
0	0.6910692285
5	0.6824664034
10	0.6763440528
15	0.6711808529
20	0.6673393847
25	0.6645097373
30	0.6619217162
35	0.6598837614
40	0.6575553005
45	0.655900972
50	0.6544672244
55	0.6533720705
60	0.6524657596
65	0.6513693611
70	0.6506838008
75	0.6495463297
80	0.648802838
85	0.6482111335
90	0.647418649
95	0.6465963501
100	0.6461753851
105	0.6459348902
110	0.6454999515
115	0.6450015371
120	0.6445450438
125	0.6442120509
130	0.6439446836
135	0.643494866
140	0.6433115106
145	0.6430628691
150	0.6427002882
155	0.6424526651
160	0.6420521232
165	0.6418366905
170	0.6416262363
175	0.641509751
180	0.6412536984
185	0.6411335358
190	0.6409846338
195	0.6408495923
200	0.6405569365
205	0.6404347939
210	0.6401339914
215	0.6400041548
220	0.6398647006
225	0.6396197364
230	0.6394909746
235	0.6391303738
240	0.6390370837
245	0.6388180303
250	0.6385584135
255	0.6383120916
260	0.6380598294
265	0.6377499186
270	0.6374669935
275	0.6371359807
280	0.6368094938
285	0.6365062587
290	0.6361604236
295	0.6358790259
300	0.635701045
305	0.635469206
310	0.6352594306
315	0.6349541589
320	0.6346252393
325	0.6343702616
330	0.6340458679
335	0.6336920559
340	0.6332705818
345	0.6329924088
350	0.6326732199
355	0.6323884279
360	0.6320362565
365	0.6318193529
370	0.631547007
375	0.6313261998
380	0.6310472914
385	0.6307765862
390	0.6305389201
395	0.6302597854
400	0.6298837965
405	0.6296358339
410	0.6292958824
415	0.6290409047
420	0.628804766
425	0.628569476
430	0.6282264696
435	0.6279683803
440	0.6277350703
445	0.6273830686
450	0.6270869618
455	0.6267929482
460	0.6264953705
465	0.6262684534
470	0.6259601266
475	0.6257004533
480	0.6254845114
485	0.6252110907
490	0.6250122341
495	0.624710187
500	0.6244622244
505	0.6243484547
510	0.6240935901
515	0.6238906036
520	0.6236326841
525	0.6234011279
530	0.6231885804
535	0.6229347342
540	0.6227299939
545	0.6224106919
550	0.6221541867
555	0.62196755
560	0.6217354281
565	0.6215916743
570	0.6214293077
575	0.6212561356
580	0.6210308025
585	0.6207294343
590	0.6205140016
595	0.6204027777
600	0.6201450278
605	0.6200209051
610	0.619869627
615	0.6197375274
620	0.6195897569
625	0.6194303887
630	0.6191610413
635	0.6190463663
640	0.6188634635
645	0.6187929727
650	0.6186638715
655	0.6185359017
660	0.6183463798
