iter	Passed	Remaining
0	97	488579
1	172	431735
2	260	433254
3	338	422404
4	415	415078
5	497	414365
6	586	418580
7	667	416535
8	783	434684
9	889	443789
10	990	449440
11	1098	456737
12	1180	452678
13	1261	449447
14	1344	446871
15	1425	443889
16	1506	441582
17	1596	441964
18	1678	440154
19	1764	439315
20	1837	435564
21	1909	432033
22	1987	430183
23	2064	428061
24	2146	427196
25	2235	427705
26	2314	426241
27	2394	425232
28	2478	424866
29	2573	426286
30	2648	424581
31	2729	423725
32	2805	422260
33	2878	420463
34	2953	418911
35	3036	418733
36	3126	419341
37	3203	418292
38	3283	417662
39	3365	417353
40	3443	416550
41	3527	416422
42	3617	417043
43	3701	416957
44	3779	416143
45	3857	415489
46	3937	414906
47	4016	414411
48	4090	413282
49	4170	412858
50	4254	412877
51	4328	411900
52	4408	411519
53	4487	410994
54	4573	411220
55	4651	410660
56	4724	409701
57	4799	408984
58	4880	408757
59	4957	408136
60	5046	408612
61	5131	408678
62	5211	408420
63	5285	407615
64	5352	406362
65	5430	405974
66	5508	405575
67	5582	404911
68	5658	404391
69	5762	405819
70	5845	405813
71	5928	405742
72	6012	405832
73	6096	405857
74	6173	405402
75	6256	405354
76	6330	404737
77	6411	404571
78	6495	404593
79	6576	404436
80	6665	404792
81	6754	405134
82	6825	404348
83	6899	403805
84	6986	403978
85	7073	404199
86	7157	404196
87	7238	404047
88	7314	403618
89	7390	403175
90	7473	403161
91	7553	402956
92	7638	403055
93	7717	402775
94	7792	402353
95	7863	401699
96	7938	401246
97	8014	400874
98	8083	400155
99	8163	399987
100	8235	399440
101	8294	398304
102	8371	398017
103	8454	397997
104	8535	397917
105	8616	397813
106	8695	397653
107	8777	397575
108	8845	396909
109	8924	396725
110	9007	396715
111	9082	396399
112	9165	396371
113	9242	396134
114	9312	395598
115	9393	395494
116	9477	395530
117	9564	395701
118	9641	395451
119	9720	395298
120	9795	394982
121	9868	394591
122	9951	394576
123	10033	394529
124	10113	394408
125	10194	394333
126	10345	396952
127	10423	396741
128	10501	396546
129	10581	396389
130	10652	395924
131	10761	396883
132	10853	397188
133	10936	397133
134	11025	397333
135	11110	397350
136	11191	397252
137	11268	397006
138	11338	396518
139	11418	396397
140	11501	396340
141	11592	396583
142	11668	396305
143	11736	395794
144	11811	395470
145	11880	394972
