feature,importance_gain
zip_code,5375.225756525993
interest_rate,2471.7100381851196
term,2354.305012047291
level,1504.4969964623451
balance_accounts,1031.0983708500862
issue_time,811.8872276246548
record_time,527.2485517859459
balance_limit,482.07727885246277
avg_income,453.47330418229103
balance,446.0831615924835
total_expense,403.49178528785706
career,392.7067568898201
record_time_days,344.7454538345337
utilization,337.64000019431114
zip_code_freq,316.76500153541565
income_std,277.9646359682083
total_income,276.17104744911194
diff_issue_record_days,275.4695617556572
accounts_ratio,272.2508724331856
p95_expense,221.8993393778801
first_tx_days,211.92344498634338
p95_income,210.16420257091522
expense_std,209.77125337719917
diff_record_history_days,186.55878460407257
diff_issue_history_days,185.03582471609116
loan,170.7048925459385
history_time,163.2294494509697
avg_expense,160.5376524925232
tx_count,151.3065751194954
grade,148.97441387176514
issue_time_days,140.35498297214508
expense_count,121.55982863903046
total_accounts,110.9263351559639
net_income,109.9914328455925
title_freq,98.10730755329132
income_count,90.81243968009949
title,80.09503269195557
history_time_days,71.75851035118103
residence,69.52169704437256
active_days,55.17816984653473
subgrade,23.874905228614807
installment,0.0
last_tx_days,0.0
syndicated,0.0
has_stm,0.0
