iter	Logloss
0	0.6911112473
1	0.6889772477
2	0.6872299996
3	0.6855884589
4	0.6840274835
5	0.682514359
6	0.6810395367
7	0.6798247258
8	0.6786957256
9	0.6775923825
10	0.6763640009
11	0.6752665817
12	0.6740142354
13	0.6729541755
14	0.6720004949
15	0.6712108054
16	0.6703544404
17	0.6696111873
18	0.6689980255
19	0.6683850632
20	0.6676321191
21	0.6670346705
22	0.6663451338
23	0.6656903806
24	0.6651031936
25	0.6644901529
26	0.6639030764
27	0.6635229205
28	0.6630241285
29	0.662666445
30	0.6621180967
31	0.6616307545
32	0.6611476612
33	0.6608509104
34	0.6604033105
35	0.6600289527
36	0.65963775
37	0.6592605414
38	0.659025455
39	0.6586983496
40	0.6583950818
41	0.6579479
42	0.6575400224
43	0.6571918135
44	0.6568418359
45	0.6565643136
46	0.6562980892
47	0.6560392566
48	0.6556758271
49	0.6553902997
50	0.6551560424
51	0.6549499503
52	0.6547009949
53	0.6544828633
54	0.654264057
55	0.6539683582
56	0.6537485334
57	0.6536237926
58	0.6533999941
59	0.6532059755
60	0.6530474762
61	0.6528031364
62	0.6525922832
63	0.6522868167
64	0.651975035
65	0.6517684284
66	0.651548601
67	0.6513923057
68	0.6512282404
69	0.6510520131
70	0.6508906073
71	0.6507450702
72	0.6505964486
73	0.6504729211
74	0.6503053291
75	0.6501108536
76	0.6499522733
77	0.6497886282
78	0.6495418038
79	0.6494902868
80	0.6491781042
81	0.6490074601
82	0.6488475197
83	0.6487324454
84	0.6485828966
85	0.6484772518
86	0.648273248
87	0.6480631576
88	0.6479039491
89	0.6478661214
90	0.6477465132
91	0.6475628626
92	0.6474698392
93	0.6473472518
94	0.647233032
95	0.6471149068
96	0.6469807772
97	0.6467616243
98	0.6466499026
99	0.6465119104
100	0.6464244023
101	0.6463750484
102	0.6462652826
103	0.6461819305
104	0.6460122012
105	0.6459006863
106	0.6458197936
107	0.645738477
108	0.6456226006
109	0.6456154683
110	0.645484169
111	0.6453624326
112	0.6452603318
113	0.6451867067
114	0.6451247769
115	0.645114891
116	0.6450086014
117	0.6448778235
118	0.6448668772
119	0.6447460078
120	0.6445917806
121	0.6444662006
122	0.6443475927
123	0.6442430873
124	0.6440877766
125	0.6440045654
126	0.6439389768
127	0.6439199147
128	0.643887289
129	0.6438105565
130	0.6436984177
131	0.6435842827
132	0.6434764845
133	0.6433480751
134	0.6432974012
135	0.6431670066
136	0.6431253653
137	0.6430547333
138	0.6429937938
139	0.6429422502
140	0.6428792032
141	0.6428630475
142	0.6427481319
143	0.6426411378
144	0.6425546197
145	0.642454059
146	0.6423441582
147	0.6423427086
148	0.6422455033
149	0.6421522527
150	0.6420556894
151	0.6419518144
152	0.6418681761
153	0.641725866
154	0.6416458966
155	0.6415246916
156	0.6414113089
157	0.641360846
158	0.6413006869
159	0.6412169358
160	0.6411483368
161	0.6410649913
162	0.6410272284
163	0.6409330163
164	0.6408852334
165	0.6407717978
166	0.6406612824
167	0.6406081131
168	0.6405170333
169	0.640478292
170	0.6403946512
171	0.6403009055
172	0.6402419462
173	0.6401293511
174	0.6400894225
175	0.640047132
176	0.6400193157
177	0.6399596049
178	0.6399233766
179	0.6398506578
180	0.6397587523
181	0.6397447745
182	0.639673174
183	0.6396148443
184	0.6395355423
185	0.639469005
186	0.6393771318
187	0.6393283499
188	0.639328348
189	0.6392671129
190	0.6392089433
191	0.6391550749
192	0.639083696
193	0.6390336137
194	0.6389708307
195	0.6388866305
196	0.6388184067
197	0.6387911655
198	0.6386886655
199	0.6386354591
200	0.6385891365
201	0.6384967633
202	0.6384537515
203	0.6384276247
204	0.6383658501
205	0.6383396893
206	0.6382694776
207	0.6381982074
208	0.6381325789
209	0.6380952673
210	0.6380154691
211	0.6379773917
212	0.6379016981
213	0.6378069142
214	0.6377163177
215	0.6376348249
216	0.6375229979
217	0.6374625507
218	0.6374228952
219	0.637323715
220	0.6372660667
221	0.6371941591
222	0.6371140155
223	0.6371126115
224	0.6370037546
225	0.6369483346
226	0.6369046788
227	0.6368545287
228	0.6367938608
229	0.6367396344
230	0.6366549858
231	0.6365833189
232	0.6365374456
233	0.6364504251
234	0.6364286308
235	0.6363709798
236	0.63635006
237	0.6363009726
238	0.6362562572
239	0.6362163076
240	0.6361634068
241	0.6361147788
242	0.6360722276
243	0.6360049353
244	0.6359398203
245	0.6359347141
246	0.6358768937
247	0.6358452926
248	0.635779237
249	0.6357196423
250	0.6356661002
251	0.6356025352
252	0.6355642669
253	0.6355234907
254	0.6354852724
255	0.6354741533
256	0.6354485871
257	0.6354350838
258	0.635373184
259	0.6353356824
260	0.6352656109
261	0.6352029316
262	0.6351471401
263	0.6351469792
264	0.635101124
265	0.6350564694
266	0.6350096036
267	0.6349951495
268	0.634933182
269	0.6349252081
270	0.6348777668
271	0.6348236807
272	0.6347838972
273	0.6346817116
274	0.6346488679
275	0.6346006095
276	0.6345220015
277	0.6344990815
278	0.6344478949
279	0.6343614251
280	0.6343051292
281	0.6342545855
282	0.6342382443
283	0.6341920834
284	0.6341251273
285	0.6340396604
286	0.6340190742
287	0.633990621
288	0.6339429413
289	0.633891705
290	0.6338708556
291	0.6338377741
292	0.6337914939
293	0.6337180556
294	0.6336630049
295	0.6336011962
296	0.6335788791
297	0.6335429241
298	0.6334519685
299	0.633426046
300	0.6333935587
301	0.6333589395
302	0.6333435489
303	0.633281949
304	0.6332561231
305	0.6332034243
306	0.6331511719
307	0.6331023895
308	0.6330643539
309	0.6330089496
310	0.63298387
311	0.6329738429
312	0.6329421329
313	0.6328622198
314	0.6327973789
315	0.6327584108
316	0.6326887807
317	0.6326558943
318	0.6325967262
319	0.6325441027
320	0.6324916475
321	0.6324448863
322	0.6324147801
323	0.6323381485
324	0.6322642351
325	0.6322332969
326	0.6321651867
327	0.6320965301
328	0.6320233262
329	0.632005201
330	0.6319140821
331	0.631887886
332	0.6318022142
333	0.6317393585
334	0.631711229
335	0.63164771
336	0.6316390229
337	0.6316017192
338	0.6315394228
339	0.6315063459
340	0.63144882
341	0.63142134
342	0.6313688835
343	0.6312495079
344	0.631199431
345	0.6311122962
346	0.6310452726
347	0.6310063345
348	0.6309430961
349	0.630846503
350	0.6307642538
351	0.6306869793
352	0.630634985
353	0.6305952191
354	0.6305720138
355	0.6305589821
356	0.6305007839
357	0.6303813465
358	0.6302819247
359	0.6302464272
360	0.630114436
361	0.630055044
362	0.6300176378
363	0.6299442308
364	0.6299115411
365	0.6298770676
366	0.629849755
367	0.6297664471
368	0.6297161987
369	0.6296827258
370	0.6296038021
371	0.6295429638
372	0.6295084555
373	0.6294259433
374	0.6293381152
375	0.6292384812
376	0.6291550078
377	0.6291365187
378	0.6291001482
379	0.6290621807
380	0.6289849134
381	0.6288636392
382	0.6287932884
383	0.628732874
384	0.6286572221
385	0.6286168119
386	0.6285452215
387	0.6284750426
388	0.6283849985
389	0.6283731509
390	0.6283544834
391	0.6283064246
392	0.6282325437
393	0.6282217541
394	0.6281501873
395	0.6280956173
396	0.6280643278
397	0.6280351296
398	0.6279401713
399	0.6278736696
400	0.6278326147
401	0.6277609199
402	0.6276946909
403	0.6276111186
404	0.6275519428
405	0.6275150931
406	0.627456677
407	0.6273338952
408	0.6272944911
409	0.6272548749
410	0.6272134691
411	0.6271616888
412	0.6270727072
413	0.6270262187
414	0.6269711369
415	0.6268440712
416	0.6267980837
417	0.6267289794
418	0.6266996666
419	0.6266226059
420	0.6265718903
421	0.6264726267
422	0.6263941255
423	0.6263231389
424	0.6263033561
425	0.626282233
426	0.6262490118
427	0.626187301
428	0.6261609665
429	0.6260537952
430	0.6260195413
431	0.6259618595
432	0.6258383139
433	0.6257698352
434	0.6257214687
435	0.6256616406
436	0.625608896
437	0.6255146507
438	0.6254261326
439	0.6253295678
440	0.6252826977
441	0.6252236561
442	0.6251262504
443	0.6250545089
444	0.6249887504
445	0.624954473
446	0.6249043469
447	0.6247734098
448	0.6246658773
449	0.6246191979
450	0.624497743
451	0.6244219972
452	0.6243553291
453	0.6242771776
454	0.6241874011
455	0.6240582918
456	0.6239605499
457	0.6238741131
458	0.6238313567
459	0.6237841327
460	0.6237238282
461	0.6236965713
462	0.6235927665
463	0.6234911194
464	0.6234398689
465	0.6233878852
466	0.623316266
467	0.6232420727
468	0.623150904
469	0.6230693162
470	0.6230126456
471	0.6229984836
472	0.6229250712
473	0.622913045
474	0.6228354006
475	0.6228000489
476	0.622733943
477	0.6226229345
478	0.6225620188
479	0.6225066064
480	0.6224497238
481	0.6223999911
482	0.6223640817
483	0.6223217427
484	0.6221981063
485	0.6221514772
486	0.622074871
487	0.6220457797
488	0.6219650908
489	0.6219187853
490	0.6218754214
491	0.6218424053
492	0.6218017872
493	0.6217709073
494	0.6217115847
495	0.6215606889
496	0.6214978543
497	0.6214588391
498	0.6214189452
499	0.6213309948
500	0.6212441073
501	0.6211987302
502	0.6211453145
503	0.6210988975
504	0.6210630077
505	0.621043259
506	0.6209440362
507	0.6208937179
508	0.6208225593
509	0.6207500027
510	0.6206615805
511	0.6205963117
512	0.6205406566
513	0.620487958
514	0.6204302017
515	0.6203689074
516	0.6203074817
517	0.6202467586
518	0.6202168699
519	0.6202012177
520	0.6201022419
521	0.6200405963
522	0.6199845024
523	0.6199496244
524	0.6198462007
525	0.6197844737
526	0.6197361525
527	0.6197070881
528	0.6196704126
529	0.6196174931
530	0.6195831535
531	0.6195107345
532	0.6193860728
533	0.6192964894
534	0.619252499
535	0.6191473229
536	0.6190989888
537	0.6190400575
538	0.6190186006
539	0.6189463851
540	0.6188747691
541	0.6188046141
542	0.6187694715
543	0.6187280721
544	0.6186925856
545	0.6186422217
546	0.6185792691
547	0.6185208612
548	0.6184442499
549	0.6184076155
550	0.6183170234
551	0.6182779641
552	0.6182064966
553	0.6181370765
554	0.6180817508
555	0.6179745519
556	0.6179411828
557	0.6178999732
558	0.6178619879
559	0.6178167526
560	0.6177884485
561	0.617755034
562	0.6176875131
563	0.6176005392
564	0.6175501006
565	0.6174521475
566	0.6174227636
567	0.6173800331
568	0.6173025518
569	0.617273789
570	0.6172515365
571	0.6172001392
