iter	Passed	Remaining
0	80	80103
1	141	70498
2	156	51974
3	235	58701
4	309	61617
5	392	65018
6	479	67990
7	554	68763
8	626	68938
9	685	67845
10	709	63811
11	761	62674
12	839	63724
13	869	61207
14	953	62603
15	1028	63282
16	1062	61430
17	1141	62287
18	1201	62030
19	1240	60793
20	1289	60132
21	1306	58102
22	1378	58551
23	1454	59159
24	1537	59947
25	1609	60307
26	1679	60541
27	1742	60487
28	1818	60890
29	1900	61435
30	1959	61261
31	2088	63189
32	2174	63709
33	2255	64085
34	2344	64654
35	2396	64181
36	2425	63140
37	2479	62780
38	2555	62960
39	2659	63829
40	2695	63036
41	2782	63468
42	2878	64057
43	2955	64212
44	3034	64405
45	3114	64588
46	3141	63700
47	3212	63719
48	3287	63806
49	3372	64084
50	3446	64137
51	3517	64123
52	3599	64307
53	3669	64282
54	3686	63335
55	3772	63585
56	3854	63769
57	3931	63855
58	3975	63411
59	4055	63533
60	4124	63483
61	4203	63591
62	4286	63756
63	4385	64134
64	4459	64149
65	4538	64225
66	4652	64792
67	4734	64890
68	4833	65213
69	4928	65482
70	5014	65612
71	5092	65642
72	5175	65723
73	5257	65795
74	5336	65814
75	5412	65803
76	5484	65744
77	5557	65687
78	5639	65742
79	5728	65879
80	5814	65971
81	5896	66017
82	5936	65584
83	6011	65559
84	6090	65557
85	6175	65629
86	6251	65605
87	6321	65513
88	6409	65610
89	6506	65789
90	6590	65828
91	6678	65917
92	6751	65848
93	6840	65929
94	6942	66132
95	7002	65938
96	7086	65966
97	7183	66121
98	7267	66145
99	7350	66157
100	7434	66175
101	7479	65845
102	7539	65663
103	7629	65732
104	7709	65718
105	7800	65785
106	7882	65781
107	7962	65767
108	8044	65755
109	8131	65794
110	8210	65754
111	8292	65750
112	8394	65893
113	8474	65864
114	8563	65904
115	8622	65711
116	8705	65696
117	8790	65705
118	8836	65420
119	8904	65300
120	8978	65227
121	9065	65242
122	9143	65192
123	9221	65144
124	9304	65129
125	9382	65083
126	9477	65145
127	9560	65131
128	9659	65219
129	9765	65351
130	9850	65342
131	9929	65292
132	9999	65182
133	10092	65224
134	10171	65173
135	10275	65279
136	10371	65333
137	10428	65137
138	10513	65124
139	10596	65091
140	10694	65154
141	10780	65139
142	10870	65149
143	10967	65197
144	11050	65158
145	11148	65209
146	11252	65297
147	11329	65222
148	11406	65148
149	11495	65138
150	11585	65140
151	11669	65101
152	11745	65019
153	11837	65031
154	11930	65041
155	12026	65064
156	12108	65014
157	12195	64990
158	12291	65015
159	12388	65040
160	12479	65034
161	12568	65015
162	12667	65048
163	12757	65034
164	12848	65020
165	12966	65145
166	13054	65117
167	13143	65089
168	13223	65022
169	13316	65014
170	13402	64975
171	13498	64981
172	13570	64871
173	13665	64869
174	13763	64884
175	13844	64816
176	13954	64883
177	14048	64873
178	14127	64798
179	14258	64956
180	14350	64932
181	14392	64687
182	14471	64609
183	14567	64602
184	14657	64573
185	14730	64467
186	14809	64385
187	14893	64327
188	14991	64326
189	15087	64321
190	15174	64274
191	15269	64257
192	15355	64206
193	15450	64191
194	15535	64134
195	15605	64015
196	15693	63970
197	15728	63709
198	15809	63635
199	15901	63606
200	15991	63569
201	16079	63521
202	16166	63470
203	16263	63458
204	16355	63428
205	16434	63344
206	16552	63411
207	16660	63438
208	16745	63378
209	16822	63284
210	16904	63210
211	16987	63143
212	17081	63114
213	17144	62969
214	17237	62935
215	17317	62856
216	17406	62809
217	17486	62725
218	17577	62685
219	17662	62620
220	17753	62580
221	17829	62483
222	17915	62424
223	18028	62455
224	18101	62348
225	18178	62256
226	18260	62181
227	18347	62123
228	18438	62080
229	18538	62064
230	18624	61999
231	18732	62012
232	18819	61950
233	18902	61877
234	18983	61796
235	19063	61713
236	19166	61704
237	19257	61657
238	19354	61625
239	19456	61612
240	19544	61551
241	19629	61485
242	19709	61399
243	19782	61291
244	19863	61212
245	19971	61213
246	20056	61142
247	20164	61142
248	20260	61106
249	20341	61025
250	20431	60969
251	20506	60869
252	20588	60789
253	20672	60714
254	20762	60658
255	20854	60609
256	20937	60530
257	21027	60474
258	21108	60392
259	21195	60326
260	21277	60246
261	21376	60211
262	21484	60205
263	21571	60138
264	21655	60062
265	21740	59991
266	21854	59996
267	21944	59937
268	22044	59905
269	22126	59822
270	22211	59749
271	22295	59674
272	22391	59627
273	22489	59589
274	22600	59582
275	22694	59531
276	22793	59492
277	22893	59458
278	22980	59387
279	23058	59292
280	23138	59206
281	23223	59129
282	23299	59030
283	23400	58995
284	23503	58964
285	23583	58875
286	23672	58810
287	23782	58795
288	23867	58719
289	23964	58670
290	24051	58599
291	24158	58577
292	24276	58579
293	24381	58548
294	24475	58492
295	24604	58519
296	24694	58451
297	24793	58407
298	24879	58328
299	24967	58257
300	25077	58237
301	25188	58218
302	25293	58183
303	25386	58122
304	25483	58068
305	25581	58018
306	25656	57914
307	25744	57841
308	25846	57799
309	25938	57733
310	26024	57656
311	26137	57636
312	26228	57568
313	26318	57497
314	26413	57438
315	26537	57441
316	26623	57362
317	26700	57263
318	26779	57169
319	26867	57092
320	26958	57024
321	27044	56945
322	27125	56854
323	27228	56810
324	27320	56742
325	27428	56707
326	27518	56636
327	27610	56567
328	27698	56492
329	27798	56439
330	27874	56339
331	27971	56279
332	28069	56224
333	28162	56156
334	28243	56066
335	28320	55966
336	28399	55872
337	28492	55804
338	28595	55756
339	28684	55682
340	28792	55643
341	28901	55605
342	28981	55512
343	29084	55464
344	29173	55386
345	29267	55320
346	29351	55234
347	29444	55165
348	29530	55084
349	29636	55040
350	29719	54952
351	29830	54914
352	29920	54840
353	30016	54775
354	30094	54679
355	30174	54585
356	30252	54487
357	30381	54483
358	30483	54429
359	30567	54341
360	30659	54269
361	30751	54197
362	30862	54158
363	30969	54111
364	31067	54048
365	31126	53917
366	31220	53848
367	31305	53763
368	31399	53693
369	31514	53659
370	31595	53567
371	31674	53472
372	31764	53394
373	31869	53342
374	31959	53266
375	32046	53184
376	32142	53115
377	32273	53106
378	32360	53023
379	32436	52922
380	32538	52863
381	32632	52792
382	32744	52750
383	32821	52651
384	32905	52563
385	32977	52456
386	33064	52373
387	33148	52285
388	33235	52202
389	33325	52125
390	33412	52041
391	33498	51957
392	33594	51887
393	33687	51813
394	33799	51768
395	33887	51686
396	34003	51647
397	34093	51568
398	34199	51512
399	34290	51435
400	34398	51383
401	34471	51278
402	34557	51192
403	34645	51111
404	34730	51023
405	34824	50950
406	34904	50856
407	35004	50791
408	35092	50708
409	35178	50622
410	35255	50524
411	35334	50429
412	35398	50312
413	35482	50224
414	35574	50146
415	35669	50074
416	35760	49996
417	35856	49924
418	35937	49831
419	36018	49740
420	36100	49648
421	36194	49574
422	36275	49482
423	36360	49395
424	36439	49300
425	36515	49202
426	36590	49100
427	36683	49025
428	36768	48938
429	36881	48889
430	36967	48803
431	37067	48736
432	37170	48673
433	37261	48594
434	37366	48533
435	37446	48439
436	37530	48351
437	37612	48260
438	37693	48168
439	37767	48068
440	37873	48007
441	37958	47920
442	38043	47833
443	38119	47735
444	38217	47663
445	38295	47568
446	38388	47491
447	38468	47398
448	38553	47312
449	38627	47211
450	38721	47135
451	38807	47049
452	38921	46997
453	39021	46928
454	39117	46854
455	39202	46767
456	39293	46688
457	39381	46603
458	39478	46531
459	39559	46438
460	39644	46351
461	39721	46255
462	39799	46160
463	39886	46075
464	39980	45998
465	40084	45933
466	40181	45860
467	40274	45782
468	40355	45690
469	40463	45629
470	40557	45551
471	40653	45477
472	40744	45396
473	40831	45311
474	40917	45224
475	41012	45148
476	41095	45058
477	41180	44970
478	41255	44872
479	41344	44789
480	41447	44721
481	41537	44640
482	41618	44548
483	41730	44489
484	41831	44419
485	41930	44346
486	42030	44274
487	42114	44185
488	42208	44107
489	42304	44030
490	42394	43948
491	42502	43884
492	42604	43814
493	42711	43748
494	42794	43658
495	42883	43574
496	42989	43508
497	43081	43427
498	43189	43362
499	43275	43275
500	43373	43200
501	43477	43131
502	43579	43059
503	43660	42967
504	43764	42897
505	43858	42818
506	43963	42749
507	44062	42674
508	44149	42587
509	44254	42519
510	44338	42429
511	44454	42370
512	44559	42301
513	44646	42214
514	44732	42127
515	44829	42049
516	44921	41967
517	45029	41900
518	45120	41816
519	45202	41725
520	45276	41626
521	45388	41562
522	45494	41493
523	45593	41417
524	45685	41334
525	45761	41237
526	45860	41161
527	45961	41086
528	46046	40998
529	46142	40918
530	46243	40844
531	46325	40752
532	46416	40668
533	46511	40589
534	46598	40501
535	46711	40437
536	46794	40346
537	46900	40275
538	46987	40188
539	47076	40102
540	47205	40050
541	47325	39990
542	47416	39907
543	47505	39820
544	47594	39734
545	47672	39639
546	47753	39547
547	47851	39468
548	47960	39399
549	48054	39316
550	48160	39245
551	48242	39153
552	48335	39070
553	48424	38984
554	48505	38891
555	48592	38804
556	48676	38713
557	48761	38624
558	48840	38530
559	48924	38440
560	49020	38360
561	49111	38275
562	49213	38199
563	49343	38145
564	49430	38057
565	49520	37971
566	49590	37870
567	49698	37799
568	49795	37718
569	49879	37628
570	49974	37546
571	50085	37476
572	50168	37385
573	50264	37304
574	50376	37234
575	50462	37146
576	50565	37069
577	50688	37008
578	50800	36937
579	50885	36848
580	51009	36786
581	51109	36707
582	51181	36608
583	51289	36535
584	51370	36442
585	51454	36351
586	51555	36273
587	51665	36201
588	51763	36120
589	51858	36037
590	51954	35954
591	52048	35871
592	52131	35780
593	52241	35707
594	52350	35633
595	52438	35545
596	52534	35462
597	52614	35369
598	52698	35279
599	52784	35189
600	52905	35123
601	52994	35036
602	53101	34960
603	53186	34870
604	53291	34793
605	53387	34710
606	53483	34627
607	53576	34542
608	53677	34463
609	53765	34374
610	53860	34290
611	53934	34193
612	54018	34103
613	54103	34012
614	54200	33930
615	54305	33852
616	54399	33768
617	54501	33688
618	54587	33599
619	54695	33522
620	54804	33447
621	54898	33362
622	54997	33280
623	55094	33198
624	55196	33118
625	55288	33031
626	55390	32951
627	55486	32867
628	55584	32785
629	55687	32705
630	55786	32623
631	55877	32536
632	55972	32451
633	56087	32378
634	56170	32286
635	56251	32194
636	56362	32118
637	56456	32033
638	56558	31952
639	56659	31870
640	56737	31776
641	56822	31686
642	56933	31609
643	57011	31515
644	57083	31418
645	57143	31313
646	57222	31220
647	57306	31129
648	57392	31039
649	57502	30962
650	57593	30875
651	57680	30786
652	57771	30699
653	57891	30627
654	57990	30544
655	58079	30456
656	58157	30362
657	58247	30274
658	58340	30188
659	58422	30096
660	58530	30017
661	58619	29929
662	58720	29847
663	58815	29761
664	58897	29669
665	59010	29593
666	59096	29504
667	59219	29432
668	59312	29346
669	59403	29258
670	59534	29190
671	59630	29105
672	59741	29027
673	59865	28955
674	59952	28866
675	60081	28796
676	60186	28715
677	60290	28633
678	60371	28540
679	60481	28461
680	60589	28381
681	60704	28305
682	60811	28224
683	60918	28143
684	61009	28055
685	61103	27968
686	61192	27879
687	61302	27800
688	61396	27713
689	61502	27631
690	61609	27550
691	61686	27455
692	61780	27368
693	61880	27284
694	61978	27199
695	62072	27112
696	62164	27024
697	62247	26932
698	62359	26852
699	62447	26763
700	62534	26673
701	62629	26586
702	62719	26497
703	62806	26407
704	62885	26313
705	62984	26228
706	63065	26136
707	63154	26046
708	63235	25954
709	63314	25860
710	63395	25768
711	63509	25689
712	63616	25607
713	63741	25532
714	63827	25441
715	63918	25352
716	64011	25265
717	64103	25177
718	64215	25096
719	64302	25006
720	64442	24936
721	64538	24850
722	64622	24758
723	64735	24678
724	64875	24607
725	64962	24517
726	65047	24426
727	65170	24349
728	65273	24264
729	65367	24177
730	65452	24085
731	65537	23994
732	65626	23904
733	65713	23814
734	65817	23730
735	65901	23638
736	65990	23548
737	66089	23462
738	66167	23369
739	66267	23283
740	66348	23190
741	66438	23101
742	66542	23016
743	66655	22935
744	66740	22844
745	66867	22767
746	66970	22682
747	67067	22594
748	67175	22511
749	67257	22419
750	67343	22328
751	67450	22244
752	67542	22155
753	67625	22063
754	67718	21974
755	67803	21883
756	67930	21806
757	68004	21711
758	68090	21620
759	68198	21536
760	68297	21449
761	68401	21364
762	68489	21273
763	68581	21184
764	68675	21096
765	68756	21003
766	68844	20913
767	68939	20825
768	69017	20732
769	69111	20643
770	69216	20558
771	69339	20478
772	69442	20392
773	69537	20304
774	69640	20218
775	69741	20131
776	69853	20048
777	69978	19968
778	70075	19880
779	70163	19789
780	70239	19695
781	70346	19610
782	70470	19530
783	70567	19442
784	70660	19352
785	70762	19266
786	70851	19175
787	70979	19096
788	71062	19004
789	71161	18916
790	71244	18824
791	71330	18733
792	71425	18644
793	71513	18553
794	71589	18460
795	71680	18370
796	71787	18284
797	71869	18192
798	71973	18106
799	72100	18025
800	72207	17939
801	72296	17848
802	72395	17760
803	72498	17673
804	72601	17586
805	72687	17495
806	72802	17411
807	72922	17328
808	73055	17247
809	73146	17157
810	73224	17064
811	73307	16972
812	73393	16881
813	73473	16788
814	73591	16704
815	73681	16614
816	73764	16522
817	73856	16432
818	73955	16344
819	74068	16258
820	74172	16171
821	74256	16079
822	74357	15991
823	74450	15901
824	74536	15810
825	74624	15719
826	74707	15628
827	74788	15535
828	74895	15448
829	74972	15355
830	75079	15268
831	75168	15178
832	75271	15090
833	75351	14998
834	75435	14906
835	75539	14818
836	75629	14728
837	75719	14637
838	75823	14550
839	75935	14463
840	76023	14373
841	76125	14284
842	76236	14198
843	76349	14111
844	76431	14020
845	76521	13929
846	76617	13839
847	76706	13749
848	76792	13658
849	76872	13565
850	76954	13473
851	77054	13384
852	77145	13294
853	77244	13205
854	77333	13114
855	77442	13027
856	77540	12938
857	77621	12846
858	77715	12756
859	77820	12668
860	77922	12579
861	78017	12490
862	78111	12400
863	78204	12309
864	78317	12222
865	78398	12131
866	78504	12042
867	78605	11953
868	78702	11864
869	78799	11774
870	78876	11682
871	78987	11594
872	79079	11504
873	79165	11412
874	79277	11325
875	79366	11234
876	79459	11144
877	79549	11053
878	79658	10965
879	79746	10874
880	79824	10782
881	79916	10691
882	80002	10600
883	80091	10509
884	80195	10420
885	80280	10329
886	80386	10240
887	80480	10150
888	80564	10059
889	80654	9968
890	80758	9879
891	80848	9788
892	80943	9698
893	81036	9608
894	81157	9521
895	81241	9429
896	81362	9342
897	81478	9254
898	81590	9166
899	81717	9079
900	81817	8989
901	81929	8901
902	82013	8809
903	82104	8719
904	82198	8628
905	82290	8537
906	82395	8448
907	82492	8358
908	82590	8268
909	82687	8177
910	82782	8087
911	82870	7996
912	82962	7905
913	83056	7814
914	83157	7725
915	83261	7635
916	83358	7545
917	83475	7456
918	83575	7366
919	83701	7278
920	83823	7190
921	83921	7099
922	84023	7009
923	84137	6920
924	84239	6830
925	84323	6738
926	84418	6647
927	84541	6559
928	84638	6468
929	84724	6377
930	84810	6285
931	84887	6193
932	84967	6101
933	85063	6010
934	85163	5920
935	85243	5828
936	85339	5737
937	85409	5645
938	85545	5557
939	85644	5466
940	85735	5375
941	85839	5285
942	85937	5194
943	86044	5104
944	86146	5013
945	86243	4922
946	86329	4831
947	86404	4739
948	86479	4647
949	86586	4557
950	86681	4466
951	86776	4375
952	86867	4284
953	86959	4193
954	87044	4101
955	87136	4010
956	87246	3920
957	87363	3830
958	87468	3739
959	87605	3650
960	87709	3559
961	87789	3467
962	87882	3376
963	87987	3285
964	88070	3194
965	88156	3102
966	88252	3011
967	88346	2920
968	88449	2829
969	88546	2738
970	88661	2647
971	88768	2557
972	88860	2465
973	88949	2374
974	89056	2283
975	89141	2192
976	89242	2100
977	89315	2009
978	89413	1917
979	89504	1826
980	89601	1735
981	89722	1644
982	89810	1553
983	89942	1462
984	90019	1370
985	90107	1279
986	90212	1188
987	90313	1096
988	90449	1006
989	90534	914
990	90639	823
991	90738	731
992	90838	640
993	90924	548
994	91001	457
995	91106	365
996	91185	274
997	91292	182
998	91378	91
999	91474	0
