feature,importance
issue_time,9.399953313404279
balance,9.135267414434379
level,8.652658161481606
id,8.340334346722129
history_time,8.136585972087419
record_time,7.175520034308876
balance_limit,6.604177258739875
interest_rate,5.947960726165353
balance_accounts,5.784748171499898
loan,5.536986919629774
total_accounts,5.487252887009201
career,5.32733831007604
zip_code,3.9294547931217103
title,3.6105083210877282
term,2.969443357016855
residence,2.543747658888774
payment_to_balance,0.969209066795453
career_isna,0.3029649911274249
syndicated,0.10390170547605929
installment,0.041986590926671154
