feature,importance
level,15.549287053198896
term,14.107915761296715
id,10.07897354126411
balance_accounts,9.091473847398015
issue_time,7.728708815056699
balance,6.0981364714034445
balance_limit,5.76263939928855
residence,4.680198124174602
record_time,4.635179011085707
loan,3.1993552679678556
interest_rate,3.1466025349973963
career,3.086924281868776
title,2.8859550376515983
zip_code,2.7759858969509015
total_accounts,2.7493803325570116
history_time,2.6217198694394908
career_isna,1.2490622060570291
payment_to_balance,0.539981339302165
syndicated,0.012521209040962803
installment,0.0
