id,all_txn_cnt,all_net_sum,all_net_mean,all_net_std,all_abs_mean,all_abs_p50,all_abs_p90,all_abs_max,all_abs_min,all_in_cnt,all_in_sum,all_in_mean,all_out_cnt,all_out_sum,all_out_mean,all_out_in_ratio,all_avg_ticket,all_large_cnt_ratio,all_wknd_ratio,all_night_ratio,all_active_days,all_avg_gap_days,all_days_since_last,win30d_txn_cnt,win30d_net_sum,win30d_net_mean,win30d_net_std,win30d_abs_mean,win30d_abs_p50,win30d_abs_p90,win30d_abs_max,win30d_abs_min,win30d_in_cnt,win30d_in_sum,win30d_in_mean,win30d_out_cnt,win30d_out_sum,win30d_out_mean,win30d_out_in_ratio,win30d_avg_ticket,win30d_large_cnt_ratio,win30d_wknd_ratio,win30d_night_ratio,win30d_active_days,win30d_avg_gap_days,win30d_days_since_last,win60d_txn_cnt,win60d_net_sum,win60d_net_mean,win60d_net_std,win60d_abs_mean,win60d_abs_p50,win60d_abs_p90,win60d_abs_max,win60d_abs_min,win60d_in_cnt,win60d_in_sum,win60d_in_mean,win60d_out_cnt,win60d_out_sum,win60d_out_mean,win60d_out_in_ratio,win60d_avg_ticket,win60d_large_cnt_ratio,win60d_wknd_ratio,win60d_night_ratio,win60d_active_days,win60d_avg_gap_days,win60d_days_since_last,win90d_txn_cnt,win90d_net_sum,win90d_net_mean,win90d_net_std,win90d_abs_mean,win90d_abs_p50,win90d_abs_p90,win90d_abs_max,win90d_abs_min,win90d_in_cnt,win90d_in_sum,win90d_in_mean,win90d_out_cnt,win90d_out_sum,win90d_out_mean,win90d_out_in_ratio,win90d_avg_ticket,win90d_large_cnt_ratio,win90d_wknd_ratio,win90d_night_ratio,win90d_active_days,win90d_avg_gap_days,win90d_days_since_last
0,48,47628.0,992.25,3437.71109328793,1495.5625,279.64,9082.000000000005,10638.1,2.01,6.0,59707.5,9951.25,42.0,12079.5,287.60714285714283,0.20231126742532662,1495.5625,0.1249999973958334,0.2708333333333333,1.0,41,3.4680851063829787,2019,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
2,48,-9361.34,-195.02791666666667,799.1276715241233,466.79375,259.73,1545.0630000000006,3394.94,4.8,4.0,6522.38,1630.595,44.0,15883.720000000001,360.99363636363637,2.4352644276421698,466.79375,0.0,0.3333333333333333,1.0,46,3.8297872340425534,332,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
4,93,-10483.2,-112.7225806451613,1071.2733934738635,550.1397849462365,255.18,1717.0739999999983,3672.2,0.0,6.0,20339.9,3389.9833333333336,85.0,30823.1,362.62470588235294,1.5154007639410516,550.1397849462365,0.01075268805642271,0.2903225806451613,1.0,83,1.8369565217391304,2018,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
6,61,10963.23,179.7250819672131,1555.8004351240156,684.1601639344261,301.2,485.05,5519.5,0.0,5.0,26348.5,5269.7,53.0,15385.27,290.28811320754716,0.5839144543111026,684.1601639344261,0.08196721177102932,0.3114754098360656,1.0,57,2.9833333333333334,2227,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
7,66,14672.49,222.31045454545455,1957.7932357320706,908.454696969697,293.645,1961.8049999999998,6676.25,1.11,6.0,37315.25,6219.208333333333,60.0,22642.76,377.3793333333333,0.60679641699823,908.454696969697,0.09090908953168046,0.25757575757575757,1.0,59,2.6923076923076925,2438,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
11,83,-6443.6799999999985,-77.63469879518071,1102.3620402199524,569.6527710843374,300.99,557.31,3918.16,0.0,6.0,20418.75,3403.125,74.0,26862.43,363.00581081081083,1.3155766145667303,569.6527710843374,0.01204819262592539,0.25301204819277107,1.0,73,2.073170731707317,2804,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
12,32,-5749.99,-179.6871875,1709.132177129167,717.9953125000001,345.20000000000005,764.1170000000006,8612.93,1.12,1.0,8612.93,8612.93,31.0,14362.92,463.32,1.6675997597022616,717.9953125000001,0.031249999023437534,0.28125,1.0,31,5.354838709677419,2350,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
15,106,15249.93,143.8672641509434,1829.1468967365672,705.6800943396227,291.685,1006.74,8104.78,3.33,6.0,45026.01,7504.335,100.0,29776.08,297.7608,0.6613084303792117,705.6800943396227,0.0566037730509078,0.2830188679245283,1.0,95,1.6857142857142857,1974,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
16,81,80736.63,996.7485185185186,4608.784398815514,1535.355185185185,279.26,520.53,19249.1,3.46,6.0,102550.2,17091.7,75.0,21813.57,290.8476,0.21271114049301992,1535.355185185185,0.07407407315957934,0.2962962962962963,1.0,72,2.15,2375,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
17,71,34534.96,486.40788732394367,3061.935056521758,1251.9591549295774,292.77,2688.56,11304.4,4.81,6.0,61712.03,10285.338333333333,65.0,27177.07,418.1087692307692,0.4403852862976573,1251.9591549295774,0.0985915479071613,0.3380281690140845,1.0,60,2.6142857142857143,1981,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,
