feature,importance
interest_rate,8.21844090196845
all_abs_min,7.612318726095598
level,6.905502900995491
id,6.329127397718943
balance_accounts,6.280510276109252
term,6.229916199760937
issue_time,6.0044005677702605
record_time,5.1418801854338145
balance,3.7439276587143517
loan,3.49271186796034
balance_limit,3.0266648279787067
total_accounts,2.909736258617184
title,2.7803218513515193
all_out_in_ratio,2.765999789218089
residence,2.7459989669668716
all_wknd_ratio,2.7449217555756746
history_time,2.2506359496848174
zip_code,1.9947939680699966
all_active_days,1.5854331585622268
all_in_mean,1.5403167786468033
all_abs_p50,1.4898232087732666
all_net_std,1.3333799224285021
all_abs_max,1.2449912826864926
all_out_mean,1.2232724853876324
career,1.164177211126591
all_avg_gap_days,1.1134825715519854
all_days_since_last,1.0593980334928106
payment_to_balance,0.8786088191731819
all_in_cnt,0.8766255876987689
all_in_sum,0.8653100622977377
all_out_cnt,0.5884240045243136
all_out_sum,0.5874996019545116
career_isna,0.5728945941482846
all_txn_cnt,0.5416586603625337
all_abs_p90,0.43812012063841194
all_avg_ticket,0.42558214762904717
all_large_cnt_ratio,0.42457400419986846
all_net_sum,0.2774977617433343
all_abs_mean,0.26809047208052234
all_net_mean,0.23298210736988834
win90d_active_days,0.04726320006308242
all_in_mean_isna,0.026170286597115996
win60d_large_cnt_ratio_isna,0.005512084535925076
all_in_cnt_isna,0.003816129365567374
win30d_large_cnt_ratio,0.0020079437690547933
win60d_net_std,0.0008010054253655372
win90d_wknd_ratio,0.0006663960303221564
win90d_days_since_last,0.0005914714318290993
win90d_avg_ticket,0.0005071299665852666
win30d_wknd_ratio,0.0004458561191499263
win90d_large_cnt_ratio,0.0003736768417390633
win30d_out_sum,0.00030697780836468183
win30d_net_mean,0.00029305227230966036
win30d_abs_p50,0.0002636261356067275
win60d_in_mean,0.0002605296441535705
win60d_in_sum,0.0001676667152250628
win90d_abs_p90,0.00014694986141163723
win90d_out_cnt,8.222279454389496e-05
win60d_active_days,6.86813969380417e-05
win30d_abs_mean,6.051772750715472e-05
win60d_abs_p90,5.923258681228219e-05
win60d_avg_gap_days,4.431183717809774e-05
win90d_abs_mean,3.902990644240684e-05
win90d_out_mean,1.9785393126620085e-05
win60d_days_since_last,1.7884273045502783e-05
win30d_out_mean,1.7529492495576884e-05
win60d_large_cnt_ratio,1.610823896635224e-05
win30d_days_since_last,1.4086865381503924e-05
win90d_avg_gap_days,1.3980437647610343e-05
all_net_std_isna,0.0
all_net_sum_isna,0.0
all_out_sum_isna,0.0
all_out_cnt_isna,0.0
win90d_in_sum_isna,0.0
all_in_sum_isna,0.0
win90d_large_cnt_ratio_isna,0.0
win90d_out_sum_isna,0.0
all_abs_mean_isna,0.0
win90d_out_cnt_isna,0.0
win60d_active_days_isna,0.0
all_abs_min_isna,0.0
all_net_mean_isna,0.0
all_abs_max_isna,0.0
all_abs_p90_isna,0.0
all_abs_p50_isna,0.0
win60d_in_sum_isna,0.0
all_out_mean_isna,0.0
all_out_in_ratio_isna,0.0
all_txn_cnt_isna,0.0
win60d_net_sum_isna,0.0
win60d_txn_cnt_isna,0.0
win90d_net_sum_isna,0.0
win60d_out_cnt_isna,0.0
win30d_active_days_isna,0.0
win30d_large_cnt_ratio_isna,0.0
win30d_out_sum_isna,0.0
win30d_out_cnt_isna,0.0
win30d_in_sum_isna,0.0
win30d_in_cnt_isna,0.0
win60d_out_sum_isna,0.0
win30d_net_sum_isna,0.0
win30d_txn_cnt_isna,0.0
all_days_since_last_isna,0.0
all_avg_gap_days_isna,0.0
all_active_days_isna,0.0
all_night_ratio_isna,0.0
win90d_in_cnt_isna,0.0
win90d_txn_cnt_isna,0.0
all_large_cnt_ratio_isna,0.0
all_avg_ticket_isna,0.0
win60d_in_cnt_isna,0.0
all_wknd_ratio_isna,0.0
win60d_out_sum,0.0
win90d_night_ratio,0.0
win30d_in_sum,0.0
win60d_net_sum,0.0
win60d_txn_cnt,0.0
win30d_avg_gap_days,0.0
win30d_active_days,0.0
win30d_night_ratio,0.0
win30d_avg_ticket,0.0
win30d_out_in_ratio,0.0
win30d_out_cnt,0.0
win30d_in_mean,0.0
win30d_in_cnt,0.0
win90d_out_in_ratio,0.0
win30d_abs_min,0.0
win30d_abs_max,0.0
win30d_abs_p90,0.0
win30d_net_std,0.0
win30d_net_sum,0.0
win30d_txn_cnt,0.0
all_night_ratio,0.0
installment,0.0
syndicated,0.0
win60d_net_mean,0.0
win60d_abs_mean,0.0
win60d_abs_p50,0.0
win60d_abs_max,0.0
win90d_out_sum,0.0
win90d_in_mean,0.0
win90d_in_sum,0.0
win90d_in_cnt,0.0
win90d_abs_min,0.0
win90d_abs_max,0.0
win90d_abs_p50,0.0
win90d_net_std,0.0
win90d_net_mean,0.0
win90d_net_sum,0.0
win90d_txn_cnt,0.0
win60d_night_ratio,0.0
win60d_wknd_ratio,0.0
win60d_avg_ticket,0.0
win60d_out_in_ratio,0.0
win60d_out_mean,0.0
win60d_out_cnt,0.0
win60d_in_cnt,0.0
win60d_abs_min,0.0
win90d_active_days_isna,0.0
