feature,importance
interest_rate,9.183626594642638
term,8.387250422135477
all_abs_min,7.452908279133214
level,7.138637821074924
id,6.9956836101581175
balance_accounts,6.141390722504908
issue_time,5.203935412453894
record_time,4.234555085642075
balance,3.3696390735354513
all_wknd_ratio,2.349510156578637
residence,2.34267943793341
balance_limit,2.255939967332554
title,2.2068369717343774
all_abs_p50,2.0329383591382464
loan,1.998339691358093
all_out_mean,1.9284138950737915
total_accounts,1.9139259187208164
all_in_mean,1.7832051358505066
all_net_std,1.7084475590075552
zip_code,1.6145704817308446
all_out_in_ratio,1.597164045991232
history_time,1.5656310276884249
all_days_since_last,1.4977176544875257
all_avg_gap_days,1.4329964194327645
all_active_days,1.3236133499884797
all_in_sum,1.2997169959384478
all_abs_p90,1.263256866828056
all_avg_ticket,1.1446436400523679
all_txn_cnt,1.0393702841454424
career,1.0246778206368201
all_out_cnt,0.9566283049088151
all_abs_max,0.9161216594265698
all_in_cnt,0.8391900227667994
all_large_cnt_ratio,0.7252579942659465
all_net_mean,0.6102064072740144
all_out_sum,0.5955800596358463
all_net_sum,0.5239116850537799
payment_to_balance,0.5031605052712327
all_abs_mean,0.32477682548286513
career_isna,0.25132655490803046
win90d_net_sum,0.11230675946186705
win90d_out_cnt,0.0748364844388165
syndicated,0.04035002962486326
installment,0.029289254290160632
win30d_in_sum,0.0244994922058613
win90d_active_days_isna,0.02030731429030417
win60d_active_days,0.009173706931518128
all_out_mean_isna,0.006665426666091433
win30d_abs_p90,0.0007790852915558789
win90d_net_mean,0.0007627553597403747
win60d_abs_p50,0.0007543290053554503
win30d_out_sum,0.0005223431388330322
all_in_sum_isna,0.0004749339849254195
win30d_net_mean,0.00045510009069819494
win30d_txn_cnt,0.00044166080882677966
win60d_txn_cnt,0.00036818912778350654
win60d_abs_mean,0.00019796033552713912
win90d_avg_gap_days,0.00018213564917554412
win90d_days_since_last,0.00012616022141396057
win30d_abs_mean,8.549954886505077e-05
win30d_abs_p50,3.862930708634549e-05
win90d_large_cnt_ratio,3.029778427557095e-08
all_out_in_ratio_isna,0.0
all_avg_ticket_isna,0.0
all_large_cnt_ratio_isna,0.0
all_out_sum_isna,0.0
all_out_cnt_isna,0.0
all_abs_min_isna,0.0
all_in_mean_isna,0.0
all_in_cnt_isna,0.0
all_night_ratio_isna,0.0
all_abs_max_isna,0.0
all_abs_p90_isna,0.0
all_abs_p50_isna,0.0
all_abs_mean_isna,0.0
all_net_std_isna,0.0
all_net_mean_isna,0.0
all_net_sum_isna,0.0
all_txn_cnt_isna,0.0
all_wknd_ratio_isna,0.0
win30d_net_std,0.0
all_active_days_isna,0.0
win60d_in_sum_isna,0.0
win90d_large_cnt_ratio_isna,0.0
win90d_out_sum_isna,0.0
win90d_out_cnt_isna,0.0
win90d_in_sum_isna,0.0
win90d_in_cnt_isna,0.0
win90d_net_sum_isna,0.0
win90d_txn_cnt_isna,0.0
win60d_active_days_isna,0.0
win60d_large_cnt_ratio_isna,0.0
win60d_out_sum_isna,0.0
win60d_out_cnt_isna,0.0
win60d_in_cnt_isna,0.0
all_avg_gap_days_isna,0.0
win60d_net_sum_isna,0.0
win60d_txn_cnt_isna,0.0
win30d_active_days_isna,0.0
win30d_large_cnt_ratio_isna,0.0
win30d_out_sum_isna,0.0
win30d_out_cnt_isna,0.0
win30d_in_sum_isna,0.0
win30d_in_cnt_isna,0.0
win30d_net_sum_isna,0.0
win90d_active_days,0.0
all_days_since_last_isna,0.0
win30d_txn_cnt_isna,0.0
win90d_out_sum,0.0
win90d_night_ratio,0.0
win30d_active_days,0.0
win60d_in_sum,0.0
win60d_in_cnt,0.0
win60d_abs_min,0.0
win60d_abs_max,0.0
win60d_abs_p90,0.0
win60d_net_std,0.0
win60d_net_mean,0.0
win60d_net_sum,0.0
win30d_days_since_last,0.0
win30d_avg_gap_days,0.0
win30d_night_ratio,0.0
win90d_wknd_ratio,0.0
win30d_wknd_ratio,0.0
win30d_large_cnt_ratio,0.0
win30d_avg_ticket,0.0
win30d_out_in_ratio,0.0
win30d_out_mean,0.0
win30d_out_cnt,0.0
win30d_in_mean,0.0
win30d_in_cnt,0.0
win30d_abs_min,0.0
win30d_abs_max,0.0
win60d_in_mean,0.0
win60d_out_cnt,0.0
win30d_net_sum,0.0
win60d_out_mean,0.0
win90d_avg_ticket,0.0
win90d_out_in_ratio,0.0
win90d_out_mean,0.0
all_night_ratio,0.0
win90d_in_mean,0.0
win90d_in_sum,0.0
win90d_in_cnt,0.0
win90d_abs_min,0.0
win90d_abs_max,0.0
win90d_abs_p90,0.0
win90d_abs_p50,0.0
win90d_abs_mean,0.0
win90d_net_std,0.0
win90d_txn_cnt,0.0
win60d_days_since_last,0.0
win60d_avg_gap_days,0.0
win60d_night_ratio,0.0
win60d_wknd_ratio,0.0
win60d_large_cnt_ratio,0.0
win60d_avg_ticket,0.0
win60d_out_in_ratio,0.0
win60d_out_sum,0.0
