feature,importance
term,9.597187664625826
balance_accounts,7.383806502000517
level,7.351167764046265
record_dt,6.947615854198103
grade,4.465463296780756
interest_rate,3.654833183917885
balance,3.6205480275373723
acct_utilization,3.581990105951732
days_history_to_record,3.5288351852892808
career,3.190864675884426
loan_to_limit,2.9078489322808925
balance_limit,2.730683002063851
min_abs_amount,2.3163039993579884
balance_utilization_sqrt,2.1482466142386656
total_accounts,2.0957011838409207
amt_p75,2.0828467512048605
days_issue_to_record,2.0543983222519966
amt_p90,2.0068674932983646
balance_utilization,1.994355437316462
mean_abs_amount,1.9518548785991914
subgrade,1.841927600342096
loan_per_month,1.8343487774653335
first_tx_days_before_record,1.6921215312122324
loan,1.5889151768489949
grade_rank,1.477801292087417
last_tx_days_before_record,1.452456534223393
ewm_income_expense_ratio,1.4466205395468266
sum_expense_abs,1.226107169013349
max_abs_amount,1.1480023700100417
ewm_expense_abs,1.090695115060639
ewm_income,1.08125318131908
span_days,1.0584546336614504
sum_income,1.0540346835833194
std_abs_amount,1.0299531758051794
amt_p50,1.0259462811162792
ewm_tx,0.8156430239853372
active_days,0.7743489020526567
expense_count,0.7016631073151998
tx_count,0.6483932462008546
income_count,0.5995325943402285
installment,0.39779626069010077
stmt_missing,0.24881069910758066
has_statement,0.15375523032692817
syndicated,0.0
