feature,importance
term,8.652462191387032
balance_accounts,7.331213510653783
record_dt,6.407847223213244
level,5.385198125778488
interest_rate,5.196529262472914
grade,4.849251421108862
balance,3.605099613527714
balance_limit,3.4495874290808097
loan_to_limit,3.221527408979253
days_history_to_record,3.1815231024658033
acct_utilization,3.133583944278927
days_issue_to_record,2.650687125713501
balance_utilization_sqrt,2.5107206833348825
grade_rank,2.481135617293525
subgrade,2.479765451751036
min_abs_amount,2.456833727900755
loan_per_month,2.4360549850400273
total_accounts,2.146693145916764
career,2.0648157425852522
first_tx_days_before_record,1.8853324985571511
amt_p90,1.8127841172463885
balance_utilization,1.7103502348470934
loan,1.6905596413822497
last_tx_days_before_record,1.6480243873426936
max_abs_amount,1.6455391198415106
amt_p75,1.6184533468158409
amt_p50,1.604131351755785
mean_abs_amount,1.5205713282143056
ewm_expense_abs,1.4590081027380577
ewm_income_expense_ratio,1.4105836219709122
expense_count,1.2218340238663077
sum_income,1.1909442812784472
std_abs_amount,1.0688947940986167
sum_expense_abs,1.0681544939323913
ewm_tx,1.0158301144266764
ewm_income,0.9410986263541635
income_count,0.6465088330820185
installment,0.6271242649737524
stmt_missing,0.4416107442059325
has_statement,0.13213236058718608
syndicated,0.0
