feature,importance
term,12.470961158272642
level,8.446884365379375
balance_accounts,8.135440487218805
record_dt,7.355937019079867
grade,5.609964183265117
career,3.5067582996870974
acct_utilization,3.366650604497687
balance,3.064913055014055
interest_rate,2.977586704375268
days_history_to_record,2.775969580515956
loan_to_limit,2.5556388711873215
balance_limit,2.297330667271476
mean_abs_amount,2.116175144585745
amt_p75,1.9985601879866912
grade_rank,1.8777503425457382
min_abs_amount,1.8746853425242216
days_issue_to_record,1.7110480781076045
total_accounts,1.6914140600167638
balance_utilization_sqrt,1.6908498674949108
subgrade,1.6832844760678274
balance_utilization,1.5957530443049879
loan_per_month,1.4929072717827152
loan,1.4798354640435416
first_tx_days_before_record,1.4416780011470218
amt_p90,1.3904492557601311
last_tx_days_before_record,1.288083629449813
max_abs_amount,1.2667350019098793
sum_expense_abs,1.162676219629306
std_abs_amount,1.1445903839330223
sum_income,1.127308565569662
ewm_expense_abs,1.0303651984589688
ewm_income_expense_ratio,1.024023511186872
ewm_income,0.9740154654004735
amt_p50,0.9299757210544017
span_days,0.8510962641766476
income_count,0.772016009910656
active_days,0.7314796676111021
ewm_tx,0.7132885359813392
tx_count,0.6973141708740397
expense_count,0.6465649831827056
installment,0.5047933517718941
stmt_missing,0.3258718164783357
has_statement,0.20137597128818335
syndicated,0.0
