feature,psi
record_dt,3.198814146988103
sum_expense_abs,2.9099227548932523
amt_p90,2.8762861521331797
amt_p50,2.8638096951518883
last_tx_days_before_record,2.847561569059402
level,0.00152973640976124
interest_rate,0.0007403322994557201
zip_code,0.0007166110679716587
issue_time,0.0006188700506630376
balance,0.0006048167508514399
record_time,0.0005828571554802077
balance_limit,0.00046061079633091757
balance_accounts,0.00044995788585264825
career,0.0004266697432977319
title,0.0003925303984048177
ewm_income_expense_ratio,0.00038944489794315345
total_accounts,0.0003386300094900187
history_time,0.00033364131070934614
span_days,0.0003306514544912537
loan,0.0002529687271129429
amt_p75,0.00021334486962359283
ewm_expense_abs,0.0001340204726548655
min_abs_amount,0.00011820028531687042
ewm_income,0.00011137733242941693
first_tx_days_before_record,8.083146178710808e-05
ewm_tx,7.600185074404836e-05
mean_abs_amount,7.432937090220402e-05
max_abs_amount,7.408816781812794e-05
std_abs_amount,6.83048659549524e-05
active_days,5.643248064906848e-05
expense_count,5.2779303001692615e-05
residence,5.246054425168767e-05
sum_income,5.129740879170645e-05
term,4.791233946449758e-05
income_count,3.110425550713894e-05
tx_count,2.771763615433079e-05
installment,0.0
syndicated,0.0
has_statement,0.0
stmt_missing,0.0
