feature,importance
level,4.187332457331401
term,3.8981548661335235
grade_rank__as_cat,3.5419558092960495
term__as_cat,3.5224031341792688
interest_rate,3.4733287142300577
balance_accounts__as_cat,3.379104806483739
balance,3.212130623160201
acct_utilization,3.1317278784573386
days_history_to_record,2.902793717684127
TE_balance_accounts__as_cat,2.6990926587938904
min_abs_amount,2.531849086933726
TE_loan__as_cat,2.4330922385312936
loan_to_limit,2.2792506808702737
loan__as_cat,2.214907269423164
TE_level,2.177143563714698
grade,2.123618758247539
balance_utilization_sqrt,2.0642673929535578
TE_grade,1.9768626260726805
TE_total_accounts__as_cat,1.9323329348227192
TE_subgrade__as_cat,1.803778546002863
TE_tx_count__as_cat,1.783616249204395
loan_per_month,1.7267159096580198
TE_career,1.7233516124876922
first_tx_days_before_record,1.6256053180599235
subgrade,1.6246390682773852
TE_expense_count__as_cat,1.5653129905116687
balance_utilization,1.5597320928052316
balance_accounts,1.4820261172206883
max_abs_amount,1.381693963728274
amt_p90,1.3315466047467683
balance_limit,1.3277537006099294
TE_career__as_cat,1.3149675837999406
amt_p75,1.295697755059776
TE_active_days__as_cat,1.270920018712227
TE_income_count__as_cat,1.2078801647445845
mean_abs_amount,1.1417031596181113
last_tx_days_before_record,1.1332036239570327
days_issue_to_record,1.0483237698731245
ewm_expense_abs,1.0440776154352667
subgrade__as_cat,0.9853211139392256
TE_span_days__as_cat,0.9473212298730063
total_accounts__as_cat,0.9216393793954085
ewm_income_expense_ratio,0.8594387782097154
amt_p50,0.8420257255130214
total_accounts,0.8249169028305207
loan,0.8108414481262799
ewm_income,0.7881251485370349
career__as_cat,0.743646313225629
std_abs_amount,0.7380439866747128
sum_income,0.7372391159622453
expense_count__as_cat,0.676656923126046
span_days__as_cat,0.6226550823764309
amt_p90_bin,0.6060540123633641
ewm_tx,0.6017508815632465
sum_expense_abs,0.5990190855773887
career,0.5987334798240618
span_days,0.5166840283093675
active_days__as_cat,0.4759262132357081
income_count__as_cat,0.45338700810524024
amt_p50_bin,0.4475931706001337
tx_count__as_cat,0.42748915699639967
income_count,0.39615733145783166
active_days,0.3777233650849563
last_tx_days_before_record_bin,0.3589259972737378
grade_rank,0.3551106116654085
expense_count,0.326349655957407
sum_expense_abs_bin,0.28925193946943545
record_dt,0.2349044020055104
tx_count,0.20509420202890197
installment__as_cat,0.11073326321076966
installment,0.025553011898272908
has_statement,0.008840098025660298
stmt_missing,0.005499951619066542
stmt_missing__as_cat,0.005405445911712179
has_statement__as_cat,0.0020474581951204353
syndicated,0.0
syndicated__as_cat,0.0
