feature,psi
record_dt,3.198814146988103
sum_expense_abs,2.926499208600679
amt_p50,2.898403317963718
amt_p90,2.8762180700349242
last_tx_days_before_record,2.8646390909400137
balance,0.0026903341126759362
loan_to_limit,0.0023958947510095367
balance_utilization,0.0017173519397082689
balance_utilization_sqrt,0.0017173519397082689
ewm_income_expense_ratio,0.0015452113163391037
level,0.00152973640976124
ewm_income,0.001042813894168447
days_issue_to_record,0.0009696666750702154
acct_utilization,0.0007426250857627187
interest_rate,0.0007403322994557201
days_history_to_record,0.0006757392231929549
amt_p75,0.00062172033722344
balance_limit,0.0004591853544672522
career,0.00045394962595815346
balance_accounts,0.00044995788585264825
total_accounts,0.0003386300094900187
span_days,0.0003249426324242442
loan_per_month,0.000322526112906425
grade,0.00031007170792567173
loan,0.0002529687271129429
ewm_expense_abs,0.00013128375786936625
min_abs_amount,0.00011820028531687042
grade_rank,0.00011247565235497845
first_tx_days_before_record,8.083146178710808e-05
ewm_tx,7.600185074404836e-05
max_abs_amount,7.192045021218924e-05
mean_abs_amount,7.174939721463211e-05
subgrade,6.639436527829261e-05
std_abs_amount,6.618864780672371e-05
active_days,5.643248064906848e-05
expense_count,5.2779303001692615e-05
sum_income,4.938663690305379e-05
term,4.791233946449758e-05
income_count,3.110425550713894e-05
tx_count,2.771763615433079e-05
has_statement,0.0
installment,0.0
syndicated,0.0
stmt_missing,0.0
