feature,importance
interest_rate,18.19326308587728
id,6.413667021594831
balance_accounts,6.191677815613275
issue_time,5.891248496857732
term,5.279901806857111
amt_min,5.051555289755059
residence,2.9320448818082574
title,2.856285969345027
record_time,2.780653848292674
level,2.734656696463967
ratio__record_time__over__issue_time,1.7496096981529845
ratio__zip_code__over__balance_limit,1.7481813810471347
career,1.5770158757867787
ratio_amt_mean_to_std,1.5362418814836145
total_accounts,1.4862150413520152
loan,1.426447013198541
ratio__issue_time__over__balance_limit,1.354412787076392
zip_code,1.3308442801976228
ratio__zip_code__over__balance,1.2084337059859798
ratio__issue_time__over__zip_code,1.1832513016149986
ratio__record_time__over__zip_code,1.170327422381285
ratio__balance_limit__over__balance,1.0841337249494292
ratio__history_time__over__record_time,1.0464154692574987
ratio__history_time__over__issue_time,0.9965619661411923
ratio__zip_code__over__amt_180d_sum,0.8675977556162767
ratio__zip_code__over__amt_90d_sum,0.8423690465257512
ratio__record_time__over__balance_limit,0.8252569018021323
balance,0.8082633165308778
ratio__history_time__over__zip_code,0.7283833880854114
balance_limit,0.6842138270807114
amt_180d_median,0.6773000486199312
amt_90d_median,0.6703534181373957
ratio__zip_code__over__amt_sum,0.6549115224188287
ratio__history_time__over__balance_limit,0.6500707075891614
amt_365d_median,0.6250122861170806
amt_max,0.5889442256986157
amt_180d_mean,0.5824702501783058
history_time,0.5823536300195676
ratio__issue_time__over__balance,0.538159442942314
first_txn,0.5353056958008099
ratio__zip_code__over__amt_60d_sum,0.5337264803007759
amt_90d_std,0.5066778269194677
ratio__record_time__over__balance,0.46562714525761184
amt_180d_std,0.440724108075148
ratio__zip_code__over__amt_365d_sum,0.4339398908539337
amt_365d_std,0.41927196556815954
amt_365d_mean,0.41913360501538827
ratio__history_time__over__balance,0.41198007009771703
txn_count_365d,0.38285445230852205
amt_90d_mean,0.357778208504503
ratio__zip_code__over__amt_30d_sum,0.35487762507980547
amt_90d_sum,0.34280121061032964
ratio__amt_180d_sum__over__balance,0.3417118190766147
amt_180d_sum,0.3416812209293839
txn_count_180d,0.31011137729193405
last_txn,0.2885873536232505
txn_count_90d,0.2682447653722156
ratio__balance_limit__over__amt_180d_sum,0.2445708875186448
amt_365d_sum,0.23304405354230254
ratio__issue_time__over__amt_sum,0.22683486940227154
ratio__amt_sum__over__balance,0.21234140824703554
ratio__history_time__over__amt_180d_sum,0.1953529856585644
ratio__record_time__over__amt_60d_sum,0.19281701658545297
ratio__balance_limit__over__amt_60d_sum,0.17798767873431748
ratio__balance_limit__over__amt_90d_sum,0.17380349813069126
ratio__balance_limit__over__amt_sum,0.1736921425805769
ratio__history_time__over__amt_90d_sum,0.1697978047355154
ratio__balance_limit__over__amt_365d_sum,0.15054324048833048
ratio__issue_time__over__amt_60d_sum,0.14700415065937597
ratio__balance_limit__over__amt_30d_sum,0.13922456686855972
amt_30d_mean,0.13822329427942046
ratio__issue_time__over__amt_180d_sum,0.1359022619281099
ratio__record_time__over__amt_sum,0.13355436524387965
amt_60d_std,0.13280105150537383
ratio__history_time__over__amt_365d_sum,0.1282802199681984
ratio__history_time__over__amt_sum,0.12606523337424477
amt_60d_mean,0.12122461578993378
ratio__history_time__over__amt_60d_sum,0.12024300957845968
ratio__record_time__over__amt_180d_sum,0.11859447928692506
ratio__amt_90d_sum__over__balance,0.11564714440372892
txn_count,0.11107118507373151
amt_30d_median,0.10130310561136002
ratio__record_time__over__amt_90d_sum,0.09964058086424701
ratio__history_time__over__amt_30d_sum,0.09301423930222222
ratio__amt_365d_sum__over__balance,0.08540926059694695
amt_median,0.079420962883797
ratio__issue_time__over__amt_90d_sum,0.07895864751126105
amt_sum,0.07836262939895998
amt_60d_median,0.07425546237416084
ratio__record_time__over__amt_30d_sum,0.06923761992813719
txn_count_30d,0.06768122780932265
ratio__issue_time__over__amt_30d_sum,0.06658558597130197
ratio__record_time__over__amt_365d_sum,0.06587885950980873
amt_mean,0.058377262667035745
txn_count_60d,0.056463727574900945
ratio__issue_time__over__amt_365d_sum,0.053426830183757976
amt_30d_sum,0.05205954159234142
txn_intensity_per_day,0.051651991141824616
syndicated,0.04976966771686931
amt_30d_std,0.048641340177976715
amt_60d_sum,0.04090074228360554
ratio__amt_30d_sum__over__balance,0.040895266699094886
amt_std,0.029722181950832753
ratio__amt_60d_sum__over__balance,0.026502933990031508
installment,0.008838980939968006
ratio__amt_60d_sum__over__amt_sum,0.0006391385979858626
ratio_txn_30d_to_all,0.0
ratio__amt_90d_sum__over__amt_sum,0.0
ratio_amt_30d_to_all,0.0
ratio__amt_180d_sum__over__amt_sum,0.0
ratio__amt_30d_sum__over__amt_180d_sum,0.0
ratio__amt_30d_sum__over__amt_365d_sum,0.0
ratio__amt_30d_sum__over__amt_60d_sum,0.0
ratio__amt_30d_sum__over__amt_90d_sum,0.0
ratio__amt_30d_sum__over__amt_sum,0.0
ratio__amt_365d_sum__over__amt_180d_sum,0.0
ratio__amt_365d_sum__over__amt_60d_sum,0.0
ratio__amt_365d_sum__over__amt_90d_sum,0.0
ratio__amt_365d_sum__over__amt_sum,0.0
ratio__amt_60d_sum__over__amt_180d_sum,0.0
ratio__amt_60d_sum__over__amt_90d_sum,0.0
ratio__amt_90d_sum__over__amt_180d_sum,0.0
active_days,0.0
