feature,importance
balance_accounts,21.669043400428535
interest_rate,12.79113168189553
term,5.062630302989508
record_time,4.6667237044114245
balance,3.6075312386987775
zip_code,3.3809196216784088
title,3.0943654245169454
issue_time,3.079781000829671
ratio__issue_time__over__zip_code,2.9993028437465776
ratio__record_time__over__zip_code,2.733066100495629
ratio__history_time__over__record_time,2.541546337164058
ratio__record_time__over__issue_time,2.4147649386368792
total_accounts,2.3014794448099014
level,2.26301680053737
ratio__history_time__over__balance_limit,2.1710328436477027
history_time,2.1505054560515497
residence,1.9676888105453145
career,1.9039113878222627
loan,1.8383739335634597
ratio__history_time__over__zip_code,1.6675881865340951
ratio__issue_time__over__balance_limit,1.6538648174061694
ratio__zip_code__over__balance_limit,1.6289934900383751
balance_limit,1.6169141829621498
ratio__history_time__over__issue_time,1.5541031507985468
ratio__record_time__over__balance_limit,1.392834478818366
amt_min,0.8722001661053543
ratio_amt_mean_to_std,0.42320891756676254
out_amt_median,0.2655022200530071
amt_90d_std,0.24395277965023182
in_amt_std,0.2422010130488928
in_amt_min,0.1961233981999686
amt_mean,0.1928635288878055
in_amt_mean,0.1838679738823283
out_amt_std,0.1512931068764049
amt_365d_median,0.139354543677251
amt_60d_std,0.13571871570402289
installment,0.13333052753670988
out_amt_max,0.12712572240150738
out_amt_min,0.12353569954544655
amt_max,0.11090405181168239
in_amt_max,0.1090801719606298
in_amt_median,0.10884526387883828
ratio__history_time__over__out_amt_sum,0.10634601428643413
amt_365d_std,0.10396376649983363
amt_365d_sum,0.1031404164281714
ratio__record_time__over__out_amt_sum,0.0954927340507385
amt_180d_std,0.09077061082165508
amt_180d_median,0.09044849726928746
amt_std,0.08872256737706452
amt_30d_sum,0.08791128699659966
ratio__amt_90d_sum__over__amt_60d_sum,0.0877299668186646
out_amt_sum,0.07879500741445956
amt_60d_mean,0.07726985772797507
ratio__zip_code__over__out_amt_sum,0.07687709730020034
ratio__balance_limit__over__out_amt_sum,0.07508496099482954
first_txn,0.07493419607424741
amt_60d_median,0.07392734575701584
amt_30d_std,0.06996238868747925
ratio__issue_time__over__amt_60d_sum,0.0697046545658048
ratio__issue_time__over__out_amt_sum,0.06966176032300686
in_amt_sum,0.06946731360487915
ratio__record_time__over__amt_365d_sum,0.06794566270881655
ratio__balance_limit__over__amt_365d_sum,0.06711846535852287
ratio__amt_90d_sum__over__out_amt_sum,0.06709522816739599
ratio__history_time__over__amt_180d_sum,0.06396740477271931
ratio__amt_60d_sum__over__out_amt_sum,0.0638906165822539
amt_30d_median,0.06222462329660618
txn_intensity_per_day,0.06145738852241829
out_amt_mean,0.06044242217234554
amt_median,0.05911875092874284
txn_count_90d,0.05900549684316333
ratio__history_time__over__amt_365d_sum,0.05759962786058814
last_txn,0.05554415564337252
ratio__record_time__over__amt_180d_sum,0.05441374402106094
ratio__balance_limit__over__amt_sum,0.054111037067210974
ratio_in_to_out,0.053927749733384565
txn_count,0.05356320189854254
ratio__amt_30d_sum__over__out_amt_sum,0.052116863691376025
ratio__record_time__over__amt_90d_sum,0.0509082466508645
ratio__issue_time__over__amt_180d_sum,0.050641859844995786
amt_365d_mean,0.049482975987453395
ratio__amt_365d_sum__over__out_amt_sum,0.04884638417723943
ratio__zip_code__over__amt_sum,0.04841737144788274
amt_180d_sum,0.04829647213164695
txn_count_60d,0.04817489079537536
ratio__zip_code__over__amt_365d_sum,0.04735532745025206
txn_count_30d,0.046932337734292916
amt_180d_mean,0.04644343544249104
ratio__history_time__over__amt_30d_sum,0.046015436354090576
ratio__amt_180d_sum__over__out_amt_sum,0.043603089088213275
ratio__zip_code__over__amt_90d_sum,0.04344268051257847
amt_90d_median,0.04312113264535926
ratio__amt_365d_sum__over__amt_sum,0.04295781633765404
ratio__record_time__over__amt_60d_sum,0.041459659363646414
amt_60d_sum,0.041406144358354824
ratio__amt_sum__over__out_amt_sum,0.04035939575929613
txn_count_365d,0.03960825605266125
ratio__issue_time__over__amt_90d_sum,0.038004676544323976
ratio__balance_limit__over__amt_90d_sum,0.036644230293096026
amt_90d_mean,0.03661179718679897
txn_count_180d,0.035950231733496416
ratio__balance_limit__over__amt_180d_sum,0.03488301041168536
ratio__zip_code__over__amt_60d_sum,0.03450688196421704
amt_90d_sum,0.03069582087549958
ratio__record_time__over__amt_30d_sum,0.030629638922453472
ratio__history_time__over__amt_60d_sum,0.029104252238900386
ratio__zip_code__over__amt_180d_sum,0.028283585827715806
ratio__history_time__over__amt_90d_sum,0.0273856937448801
ratio__zip_code__over__amt_30d_sum,0.026501817976320473
ratio__history_time__over__amt_sum,0.024179871571183537
ratio__balance_limit__over__amt_60d_sum,0.023804978300252196
ratio__issue_time__over__amt_365d_sum,0.02370449257110126
ratio__balance_limit__over__amt_30d_sum,0.022306607531255303
amt_sum,0.022208004254614444
amt_30d_mean,0.022082260670657265
ratio__record_time__over__amt_sum,0.02149242172608142
ratio__issue_time__over__amt_30d_sum,0.018479226269639493
ratio__amt_180d_sum__over__amt_60d_sum,0.014871266025828406
ratio__issue_time__over__amt_sum,0.013420851631100728
ratio__amt_365d_sum__over__amt_60d_sum,0.006695801867204867
ratio__amt_30d_sum__over__amt_sum,0.004436194472338508
ratio__amt_sum__over__amt_60d_sum,0.003957446369823725
ratio__amt_180d_sum__over__amt_365d_sum,0.002560238255082074
ratio_amt_30d_to_all,0.0013594491178021515
ratio__amt_180d_sum__over__amt_sum,0.0011237104579855048
active_days,0.0010089481945971005
ratio__amt_sum__over__amt_90d_sum,0.0008670496128411883
ratio_txn_30d_to_all,0.0006100284158471975
ratio__amt_30d_sum__over__amt_60d_sum,0.00010435006217421139
ratio__amt_30d_sum__over__amt_90d_sum,7.799068794355743e-05
syndicated,0.0
ratio__amt_365d_sum__over__amt_90d_sum,0.0
ratio__amt_30d_sum__over__amt_365d_sum,0.0
ratio__amt_30d_sum__over__amt_180d_sum,0.0
ratio__amt_180d_sum__over__amt_90d_sum,0.0
