feature,importance
interest_rate,15.029795493980362
level,7.451205850745465
term,5.699621111420143
balance_accounts,5.685082333133084
days_since_issue_time,5.025806642758942
stmt_amt_min,4.894761724097045
title,4.086679433937947
zip_code,3.825257952471662
residence,3.6045626963133928
loan,3.523891436644065
balance,3.255098336162876
career,2.9825063237672245
days_since_record_time,2.9241796317580127
balance_limit,2.7183863231278327
days_since_history_time,2.7136391577299395
total_accounts,2.2913638409318287
stmt_in_min,1.7291607695443472
stmt_in_std,1.5660360578773218
stmt_in_mean,1.3812119046294375
stmt_days_since_first,1.2619771614405326
stmt_out_median,1.2316076959589797
stmt_in_median,1.2232970526763887
stmt_amt_mean,1.1620186581334626
stmt_in_sum,1.065304063591968
stmt_out_sum,1.0618412968055686
stmt_amt_sum,1.051459479715304
stmt_amt_median,1.0430698220396095
stmt_out_std,1.0418681568405657
stmt_days_since_last,1.027266208949634
stmt_amt_max,1.0038396059786825
stmt_amt_std,0.9877167713055002
stmt_active_days,0.9085506595245464
stmt_in_max,0.8426397212875447
stmt_txn_intensity_per_day,0.8408811917425727
stmt_out_mean,0.8053348806562249
stmt_out_min,0.7927883478800712
stmt_out_max,0.762766981356538
stmt_txn_count,0.7563672999452867
installment,0.5114339134154863
syndicated,0.22972400972460835
