feature,psi
title,0.00028461153220939514
career,0.0003636941663612074
zip_code,0.0008129361011015576
residence,3.295547876851553e-06
loan,0.00021308095763634152
term,2.3148859699502253e-09
interest_rate,0.0006448089572804662
issue_time,0.0006467629849969268
syndicated,
installment,
record_time,0.0005860094322908489
history_time,0.0002946161408657371
total_accounts,0.0004175422369242662
balance_accounts,0.0006791330915322445
balance_limit,0.0004350064199673131
balance,0.0006241225590335395
level,
txn_count,3.346924097024738e-05
first_txn,0.002930896893290837
last_txn,0.003188280696054709
amt_sum,0.0011873950173451168
amt_mean,0.0007578945601383753
amt_std,0.0003732999865611114
amt_min,0.0008784082732903142
amt_max,0.0008846832200210224
amt_median,0.002189029514523335
in_amt_sum,0.0012693417338790177
in_amt_mean,0.0005540515852138273
in_amt_std,0.0009640861554653938
in_amt_min,0.0007077053364015987
in_amt_max,0.0007893310792937347
in_amt_median,0.00085772808531002
out_amt_sum,0.0009716007862861423
out_amt_mean,0.0016631685269044643
out_amt_std,0.0014953330166889225
out_amt_min,0.0009473244685310223
out_amt_max,0.0008071587635855599
out_amt_median,0.0009546036314501013
active_days,
txn_intensity_per_day,0.0016986547799527048
txn_count_30d,3.346924097024738e-05
amt_30d_sum,0.0011873950173451168
amt_30d_mean,0.0007578945601383753
amt_30d_std,0.0003732999865611114
amt_30d_median,0.002189029514523335
txn_count_60d,3.346924097024738e-05
amt_60d_sum,0.0011873950173451168
amt_60d_mean,0.0007578945601383753
amt_60d_std,0.0003732999865611114
amt_60d_median,0.002189029514523335
txn_count_90d,3.346924097024738e-05
amt_90d_sum,0.0011873950173451168
amt_90d_mean,0.0007578945601383753
amt_90d_std,0.0003732999865611114
amt_90d_median,0.002189029514523335
txn_count_180d,3.346924097024738e-05
amt_180d_sum,0.0011873950173451168
amt_180d_mean,0.0007578945601383753
amt_180d_std,0.0003732999865611114
amt_180d_median,0.002189029514523335
txn_count_365d,3.346924097024738e-05
amt_365d_sum,0.0011873950173451168
amt_365d_mean,0.0007578945601383753
amt_365d_std,0.0003732999865611114
amt_365d_median,0.002189029514523335
ratio_in_to_out,0.0013617766120369626
ratio_amt_mean_to_std,0.0015590970987592102
ratio_txn_30d_to_all,
ratio_amt_30d_to_all,
ratio__history_time__over__record_time,0.0004835061873968794
ratio__history_time__over__issue_time,0.000715037568905869
ratio__history_time__over__zip_code,0.00035210512408586096
ratio__history_time__over__balance_limit,0.0006377685687476277
ratio__history_time__over__amt_30d_sum,0.0008676431922849113
ratio__history_time__over__amt_180d_sum,0.0008676431922849113
ratio__history_time__over__amt_365d_sum,0.0008676431922849113
ratio__history_time__over__amt_sum,0.0008676431922849113
ratio__history_time__over__amt_90d_sum,0.0008676431922849113
ratio__history_time__over__amt_60d_sum,0.0008676431922849113
ratio__history_time__over__out_amt_sum,0.0009127511182913318
ratio__record_time__over__issue_time,0.0004206854318717766
ratio__record_time__over__zip_code,0.0007749723407786479
ratio__record_time__over__balance_limit,0.0005858149537349397
ratio__record_time__over__amt_30d_sum,0.0010703248454467062
ratio__record_time__over__amt_180d_sum,0.0010703248454467062
ratio__record_time__over__amt_365d_sum,0.0010703248454467062
ratio__record_time__over__amt_sum,0.0010703248454467062
ratio__record_time__over__amt_90d_sum,0.0010703248454467062
ratio__record_time__over__amt_60d_sum,0.0010703248454467062
ratio__record_time__over__out_amt_sum,0.00146867695571869
ratio__issue_time__over__zip_code,0.0009167783605240924
ratio__issue_time__over__balance_limit,0.0005640472541222228
ratio__issue_time__over__amt_30d_sum,0.0009407404027188944
ratio__issue_time__over__amt_180d_sum,0.0009407404027188944
ratio__issue_time__over__amt_365d_sum,0.0009407404027188944
ratio__issue_time__over__amt_sum,0.0009407404027188944
ratio__issue_time__over__amt_90d_sum,0.0009407404027188944
ratio__issue_time__over__amt_60d_sum,0.0009407404027188944
ratio__issue_time__over__out_amt_sum,0.0012621341897720052
ratio__zip_code__over__balance_limit,0.0006459522709026397
ratio__zip_code__over__amt_30d_sum,0.000990231517968327
ratio__zip_code__over__amt_180d_sum,0.000990231517968327
ratio__zip_code__over__amt_365d_sum,0.000990231517968327
ratio__zip_code__over__amt_sum,0.000990231517968327
ratio__zip_code__over__amt_90d_sum,0.000990231517968327
ratio__zip_code__over__amt_60d_sum,0.000990231517968327
ratio__zip_code__over__out_amt_sum,0.0014574223801424359
ratio__balance_limit__over__amt_30d_sum,0.0010731270787638894
ratio__balance_limit__over__amt_180d_sum,0.0010731270787638894
ratio__balance_limit__over__amt_365d_sum,0.0010731270787638894
ratio__balance_limit__over__amt_sum,0.0010731270787638894
ratio__balance_limit__over__amt_90d_sum,0.0010731270787638894
ratio__balance_limit__over__amt_60d_sum,0.0010731270787638894
ratio__balance_limit__over__out_amt_sum,0.0023014450489692866
ratio__amt_30d_sum__over__amt_180d_sum,
ratio__amt_30d_sum__over__amt_365d_sum,
ratio__amt_30d_sum__over__amt_sum,
ratio__amt_30d_sum__over__amt_90d_sum,
ratio__amt_30d_sum__over__amt_60d_sum,
ratio__amt_30d_sum__over__out_amt_sum,0.0012950609165369286
ratio__amt_180d_sum__over__amt_365d_sum,
ratio__amt_180d_sum__over__amt_sum,
ratio__amt_180d_sum__over__amt_90d_sum,
ratio__amt_180d_sum__over__amt_60d_sum,
ratio__amt_180d_sum__over__out_amt_sum,0.0012950609165369286
ratio__amt_365d_sum__over__amt_sum,
ratio__amt_365d_sum__over__amt_90d_sum,
ratio__amt_365d_sum__over__amt_60d_sum,
ratio__amt_365d_sum__over__out_amt_sum,0.0012950609165369286
ratio__amt_sum__over__amt_90d_sum,
ratio__amt_sum__over__amt_60d_sum,
ratio__amt_sum__over__out_amt_sum,0.0012950609165369286
ratio__amt_90d_sum__over__amt_60d_sum,
ratio__amt_90d_sum__over__out_amt_sum,0.0012950609165369286
ratio__amt_60d_sum__over__out_amt_sum,0.0012950609165369286
