feature,importance,psi,miss_train,miss_test,miss_diff,decision
title,3.0943654245169454,0.0002846115322093,0.0,0.0,0.0,KEEP
career,1.9039113878222627,0.0003636941663612,0.0487658937920718,0.048169941158871,-0.0005959526332007,KEEP
zip_code,3.3809196216784088,0.0008129361011015,0.0,0.0,0.0,KEEP
residence,1.9676888105453145,3.295547876851553e-06,0.0,0.0,0.0,KEEP
loan,1.8383739335634597,0.0002130809576363,0.0,0.0,0.0,KEEP
term,5.062630302989508,2.314885969950225e-09,0.0,0.0,0.0,KEEP
interest_rate,12.79113168189553,0.0006448089572804,0.0,0.0,0.0,KEEP
issue_time,3.079781000829671,0.0006467629849969,0.0,0.0,0.0,KEEP
syndicated,0.0,,0.0,0.0,0.0,KEEP
installment,0.13333052753670988,,0.0,0.0,0.0,KEEP
record_time,4.6667237044114245,0.0005860094322908,0.0,0.0,0.0,KEEP
history_time,2.1505054560515497,0.0002946161408657,0.0,0.0,0.0,KEEP
total_accounts,2.3014794448099014,0.0004175422369242,0.0,0.0,0.0,KEEP
balance_accounts,21.669043400428535,0.0006791330915322,0.0,0.0,0.0,KEEP
balance_limit,1.6169141829621498,0.0004350064199673,0.0024308152580403,0.0023436720853695,-8.71431726708863e-05,KEEP
balance,3.6075312386987775,0.0006241225590335,0.0,0.0,0.0,KEEP
level,2.26301680053737,,0.0,0.0,0.0,KEEP
txn_count,0.05356320189854254,3.346924097024738e-05,0.0,0.0,0.0,KEEP
first_txn,0.07493419607424741,0.0029308968932908,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
last_txn,0.05554415564337252,0.0031882806960547,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_sum,0.022208004254614444,0.0011873950173451,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_mean,0.1928635288878055,0.0007578945601383,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_std,0.08872256737706452,0.0003732999865611,0.5943156320119671,0.5926498454173731,-0.001665786594594,KEEP
amt_min,0.8722001661053543,0.0008784082732903,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_max,0.11090405181168239,0.000884683220021,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_median,0.05911875092874284,0.0021890295145233,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
in_amt_sum,0.06946731360487915,0.001269341733879,0.593885564697083,0.5921511917821881,-0.0017343729148948,KEEP
in_amt_mean,0.1838679738823283,0.0005540515852138,0.593885564697083,0.5921511917821881,-0.0017343729148948,KEEP
in_amt_std,0.2422010130488928,0.0009640861554653,0.5944465220643231,0.5927994415079286,-0.0016470805563945,KEEP
in_amt_min,0.1961233981999686,0.0007077053364015,0.593885564697083,0.5921511917821881,-0.0017343729148948,KEEP
in_amt_max,0.1090801719606298,0.0007893310792937,0.593885564697083,0.5921511917821881,-0.0017343729148948,KEEP
in_amt_median,0.10884526387883828,0.00085772808531,0.593885564697083,0.5921511917821881,-0.0017343729148948,KEEP
out_amt_sum,0.07879500741445956,0.0009716007862861,0.6075355272999252,0.6065622818390346,-0.0009732454608906,KEEP
out_amt_mean,0.06044242217234554,0.0016631685269044,0.6075355272999252,0.6065622818390346,-0.0009732454608906,KEEP
out_amt_std,0.1512931068764049,0.0014953330166889,0.612565445026178,0.6114989528273661,-0.0010664921988119,KEEP
out_amt_min,0.12353569954544655,0.000947324468531,0.6075355272999252,0.6065622818390346,-0.0009732454608906,KEEP
out_amt_max,0.12712572240150738,0.0008071587635855,0.6075355272999252,0.6065622818390346,-0.0009732454608906,KEEP
out_amt_median,0.2655022200530071,0.0009546036314501,0.6075355272999252,0.6065622818390346,-0.0009732454608906,KEEP
active_days,0.0010089481945971005,,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
txn_intensity_per_day,0.06145738852241829,0.0016986547799527,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
txn_count_30d,0.046932337734292916,3.346924097024738e-05,0.0,0.0,0.0,KEEP
amt_30d_sum,0.08791128699659966,0.0011873950173451,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_30d_mean,0.022082260670657265,0.0007578945601383,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_30d_std,0.06996238868747925,0.0003732999865611,0.5943156320119671,0.5926498454173731,-0.001665786594594,KEEP
amt_30d_median,0.06222462329660618,0.0021890295145233,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
txn_count_60d,0.04817489079537536,3.346924097024738e-05,0.0,0.0,0.0,KEEP
amt_60d_sum,0.041406144358354824,0.0011873950173451,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_60d_mean,0.07726985772797507,0.0007578945601383,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_60d_std,0.13571871570402289,0.0003732999865611,0.5943156320119671,0.5926498454173731,-0.001665786594594,KEEP
amt_60d_median,0.07392734575701584,0.0021890295145233,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
txn_count_90d,0.05900549684316333,3.346924097024738e-05,0.0,0.0,0.0,KEEP
amt_90d_sum,0.03069582087549958,0.0011873950173451,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_90d_mean,0.03661179718679897,0.0007578945601383,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_90d_std,0.24395277965023182,0.0003732999865611,0.5943156320119671,0.5926498454173731,-0.001665786594594,KEEP
amt_90d_median,0.04312113264535926,0.0021890295145233,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
txn_count_180d,0.035950231733496416,3.346924097024738e-05,0.0,0.0,0.0,KEEP
amt_180d_sum,0.04829647213164695,0.0011873950173451,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_180d_mean,0.04644343544249104,0.0007578945601383,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_180d_std,0.09077061082165508,0.0003732999865611,0.5943156320119671,0.5926498454173731,-0.001665786594594,KEEP
amt_180d_median,0.09044849726928746,0.0021890295145233,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
txn_count_365d,0.03960825605266125,3.346924097024738e-05,0.0,0.0,0.0,KEEP
amt_365d_sum,0.1031404164281714,0.0011873950173451,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_365d_mean,0.049482975987453395,0.0007578945601383,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
amt_365d_std,0.10396376649983363,0.0003732999865611,0.5943156320119671,0.5926498454173731,-0.001665786594594,KEEP
amt_365d_median,0.139354543677251,0.0021890295145233,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
ratio_in_to_out,0.053927749733384565,0.0013617766120369,0.6077412116679133,0.6066620125660716,-0.0010791991018417,KEEP
ratio_amt_mean_to_std,0.42320891756676254,0.0015590970987592,0.594353029169783,0.59274957614441,-0.001603453025373,KEEP
ratio_txn_30d_to_all,0.0006100284158471975,,0.5937172774869109,0.5921013264186696,-0.0016159510682413,KEEP
ratio_amt_30d_to_all,0.0013594491178021515,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__history_time__over__record_time,2.541546337164058,0.0004835061873968,0.0,0.0,0.0,KEEP
ratio__history_time__over__issue_time,1.5541031507985468,0.0007150375689058,0.0,0.0,0.0,KEEP
ratio__history_time__over__zip_code,1.6675881865340951,0.0003521051240858,0.0,0.0,0.0,KEEP
ratio__history_time__over__balance_limit,2.1710328436477027,0.0006377685687476,0.0024308152580403,0.0023436720853695,-8.71431726708863e-05,KEEP
ratio__history_time__over__amt_30d_sum,0.046015436354090576,0.0008676431922849,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__history_time__over__amt_180d_sum,0.06396740477271931,0.0008676431922849,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__history_time__over__amt_365d_sum,0.05759962786058814,0.0008676431922849,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__history_time__over__amt_sum,0.024179871571183537,0.0008676431922849,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__history_time__over__amt_90d_sum,0.0273856937448801,0.0008676431922849,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__history_time__over__amt_60d_sum,0.029104252238900386,0.0008676431922849,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__history_time__over__out_amt_sum,0.10634601428643413,0.0009127511182913,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
ratio__record_time__over__issue_time,2.4147649386368792,0.0004206854318717,0.0,0.0,0.0,KEEP
ratio__record_time__over__zip_code,2.733066100495629,0.0007749723407786,0.0,0.0,0.0,KEEP
ratio__record_time__over__balance_limit,1.392834478818366,0.0005858149537349,0.0024308152580403,0.0023436720853695,-8.71431726708863e-05,KEEP
ratio__record_time__over__amt_30d_sum,0.030629638922453472,0.0010703248454467,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
