feature,miss_train,miss_test,miss_diff
title,0.0,0.0,0.0
career,0.0487658937920718,0.04816994115887105,-0.0005959526332007525
zip_code,0.0,0.0,0.0
residence,0.0,0.0,0.0
loan,0.0,0.0,0.0
term,0.0,0.0,0.0
interest_rate,0.0,0.0,0.0
issue_time,0.0,0.0,0.0
syndicated,0.0,0.0,0.0
installment,0.0,0.0,0.0
record_time,0.0,0.0,0.0
history_time,0.0,0.0,0.0
total_accounts,0.0,0.0,0.0
balance_accounts,0.0,0.0,0.0
balance_limit,0.0024308152580403888,0.0023436720853695025,-8.71431726708863e-05
balance,0.0,0.0,0.0
level,0.0,0.0,0.0
txn_count,0.0,0.0,0.0
first_txn,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
last_txn,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_sum,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_mean,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_std,0.5943156320119671,0.5926498454173731,-0.001665786594594043
amt_min,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_max,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_median,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
in_amt_sum,0.593885564697083,0.5921511917821881,-0.0017343729148948661
in_amt_mean,0.593885564697083,0.5921511917821881,-0.0017343729148948661
in_amt_std,0.5944465220643231,0.5927994415079286,-0.001647080556394509
in_amt_min,0.593885564697083,0.5921511917821881,-0.0017343729148948661
in_amt_max,0.593885564697083,0.5921511917821881,-0.0017343729148948661
in_amt_median,0.593885564697083,0.5921511917821881,-0.0017343729148948661
out_amt_sum,0.6075355272999252,0.6065622818390346,-0.0009732454608906149
out_amt_mean,0.6075355272999252,0.6065622818390346,-0.0009732454608906149
out_amt_std,0.612565445026178,0.6114989528273661,-0.0010664921988119413
out_amt_min,0.6075355272999252,0.6065622818390346,-0.0009732454608906149
out_amt_max,0.6075355272999252,0.6065622818390346,-0.0009732454608906149
out_amt_median,0.6075355272999252,0.6065622818390346,-0.0009732454608906149
active_days,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
txn_intensity_per_day,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
txn_count_30d,0.0,0.0,0.0
amt_30d_sum,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_30d_mean,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_30d_std,0.5943156320119671,0.5926498454173731,-0.001665786594594043
amt_30d_median,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
txn_count_60d,0.0,0.0,0.0
amt_60d_sum,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_60d_mean,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_60d_std,0.5943156320119671,0.5926498454173731,-0.001665786594594043
amt_60d_median,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
txn_count_90d,0.0,0.0,0.0
amt_90d_sum,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_90d_mean,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_90d_std,0.5943156320119671,0.5926498454173731,-0.001665786594594043
amt_90d_median,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
txn_count_180d,0.0,0.0,0.0
amt_180d_sum,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
