feature,importance,fold,seed
title,0.0,1,42
career,0.0,1,42
zip_code,0.0,1,42
residence,0.0,1,42
loan,0.0,1,42
term,0.0,1,42
interest_rate,0.0,1,42
issue_time,0.0,1,42
syndicated,0.0,1,42
installment,0.0,1,42
record_time,14.007778324251491,1,42
history_time,3.7897928574375594,1,42
total_accounts,0.0,1,42
balance_accounts,54.13286766534781,1,42
balance_limit,0.0,1,42
balance,0.0,1,42
level,0.3185739828278602,1,42
txn_count,0.0,1,42
first_txn,0.0,1,42
last_txn,0.0,1,42
amt_sum,0.0,1,42
amt_mean,0.0,1,42
amt_std,0.0,1,42
amt_min,0.0,1,42
amt_max,0.0,1,42
amt_median,0.0,1,42
in_amt_sum,0.0,1,42
in_amt_mean,0.0,1,42
in_amt_std,0.0,1,42
in_amt_min,0.0,1,42
in_amt_max,0.0,1,42
in_amt_median,0.0,1,42
out_amt_sum,0.0,1,42
out_amt_mean,0.0,1,42
out_amt_std,0.0,1,42
out_amt_min,0.0,1,42
out_amt_max,0.0,1,42
out_amt_median,0.0,1,42
active_days,0.0,1,42
txn_intensity_per_day,0.0,1,42
txn_count_30d,0.0,1,42
amt_30d_sum,0.0,1,42
amt_30d_mean,0.0,1,42
amt_30d_std,0.0,1,42
amt_30d_median,0.0,1,42
txn_count_60d,0.0,1,42
amt_60d_sum,0.0,1,42
amt_60d_mean,0.0,1,42
amt_60d_std,0.0,1,42
amt_60d_median,0.0,1,42
txn_count_90d,0.0,1,42
amt_90d_sum,0.0,1,42
amt_90d_mean,0.0,1,42
amt_90d_std,0.0,1,42
amt_90d_median,0.0,1,42
txn_count_180d,0.0,1,42
amt_180d_sum,0.0,1,42
amt_180d_mean,0.0,1,42
amt_180d_std,0.0,1,42
amt_180d_median,0.0,1,42
txn_count_365d,0.0,1,42
amt_365d_sum,0.0,1,42
amt_365d_mean,0.0,1,42
amt_365d_std,0.0,1,42
amt_365d_median,0.0,1,42
ratio_in_to_out,0.0,1,42
ratio_amt_mean_to_std,0.0,1,42
ratio_txn_30d_to_all,0.0,1,42
ratio_amt_30d_to_all,0.0,1,42
ratio__history_time__over__record_time,4.947472505530001,1,42
ratio__history_time__over__issue_time,0.0,1,42
ratio__history_time__over__zip_code,0.0,1,42
ratio__history_time__over__balance_limit,7.22816755211628,1,42
ratio__history_time__over__amt_30d_sum,0.0,1,42
ratio__history_time__over__amt_180d_sum,0.0,1,42
ratio__history_time__over__amt_365d_sum,0.0,1,42
ratio__history_time__over__amt_sum,0.0,1,42
ratio__history_time__over__amt_90d_sum,0.0,1,42
ratio__history_time__over__amt_60d_sum,0.0,1,42
ratio__history_time__over__out_amt_sum,0.0,1,42
ratio__record_time__over__issue_time,0.0,1,42
ratio__record_time__over__zip_code,4.6549241416711515,1,42
ratio__record_time__over__balance_limit,0.0,1,42
ratio__record_time__over__amt_30d_sum,0.0,1,42
ratio__record_time__over__amt_180d_sum,0.0,1,42
ratio__record_time__over__amt_365d_sum,0.0,1,42
ratio__record_time__over__amt_sum,0.0,1,42
ratio__record_time__over__amt_90d_sum,0.0,1,42
ratio__record_time__over__amt_60d_sum,0.0,1,42
ratio__record_time__over__out_amt_sum,0.0,1,42
ratio__issue_time__over__zip_code,6.396838441879673,1,42
ratio__issue_time__over__balance_limit,4.523584528938183,1,42
ratio__issue_time__over__amt_30d_sum,0.0,1,42
ratio__issue_time__over__amt_180d_sum,0.0,1,42
ratio__issue_time__over__amt_365d_sum,0.0,1,42
ratio__issue_time__over__amt_sum,0.0,1,42
ratio__issue_time__over__amt_90d_sum,0.0,1,42
ratio__issue_time__over__amt_60d_sum,0.0,1,42
ratio__issue_time__over__out_amt_sum,0.0,1,42
ratio__zip_code__over__balance_limit,0.0,1,42
ratio__zip_code__over__amt_30d_sum,0.0,1,42
ratio__zip_code__over__amt_180d_sum,0.0,1,42
ratio__zip_code__over__amt_365d_sum,0.0,1,42
ratio__zip_code__over__amt_sum,0.0,1,42
ratio__zip_code__over__amt_90d_sum,0.0,1,42
ratio__zip_code__over__amt_60d_sum,0.0,1,42
ratio__zip_code__over__out_amt_sum,0.0,1,42
ratio__balance_limit__over__amt_30d_sum,0.0,1,42
ratio__balance_limit__over__amt_180d_sum,0.0,1,42
ratio__balance_limit__over__amt_365d_sum,0.0,1,42
ratio__balance_limit__over__amt_sum,0.0,1,42
ratio__balance_limit__over__amt_90d_sum,0.0,1,42
ratio__balance_limit__over__amt_60d_sum,0.0,1,42
ratio__balance_limit__over__out_amt_sum,0.0,1,42
ratio__amt_30d_sum__over__amt_180d_sum,0.0,1,42
ratio__amt_30d_sum__over__amt_365d_sum,0.0,1,42
ratio__amt_30d_sum__over__amt_sum,0.0,1,42
ratio__amt_30d_sum__over__amt_90d_sum,0.0,1,42
ratio__amt_30d_sum__over__amt_60d_sum,0.0,1,42
ratio__amt_30d_sum__over__out_amt_sum,0.0,1,42
ratio__amt_180d_sum__over__amt_365d_sum,0.0,1,42
ratio__amt_180d_sum__over__amt_sum,0.0,1,42
ratio__amt_180d_sum__over__amt_90d_sum,0.0,1,42
ratio__amt_180d_sum__over__amt_60d_sum,0.0,1,42
ratio__amt_180d_sum__over__out_amt_sum,0.0,1,42
ratio__amt_365d_sum__over__amt_sum,0.0,1,42
ratio__amt_365d_sum__over__amt_90d_sum,0.0,1,42
ratio__amt_365d_sum__over__amt_60d_sum,0.0,1,42
ratio__amt_365d_sum__over__out_amt_sum,0.0,1,42
ratio__amt_sum__over__amt_90d_sum,0.0,1,42
ratio__amt_sum__over__amt_60d_sum,0.0,1,42
ratio__amt_sum__over__out_amt_sum,0.0,1,42
ratio__amt_90d_sum__over__amt_60d_sum,0.0,1,42
ratio__amt_90d_sum__over__out_amt_sum,0.0,1,42
ratio__amt_60d_sum__over__out_amt_sum,0.0,1,42
title,0.7312587697742127,1,3407
career,2.267921812138465,1,3407
zip_code,5.313472370062886,1,3407
residence,3.1198823028634695,1,3407
loan,2.9108164140561246,1,3407
term,0.0,1,3407
interest_rate,6.362391371590345,1,3407
issue_time,5.645711034767035,1,3407
syndicated,0.0,1,3407
installment,0.0,1,3407
record_time,5.867451953833175,1,3407
history_time,4.635300095542852,1,3407
total_accounts,4.292452670493609,1,3407
balance_accounts,11.088316605164328,1,3407
balance_limit,3.100585791018646,1,3407
balance,8.021294459925066,1,3407
level,3.716274307208358,1,3407
txn_count,0.0,1,3407
first_txn,0.0,1,3407
last_txn,0.0,1,3407
amt_sum,0.0,1,3407
amt_mean,0.0,1,3407
amt_std,0.0,1,3407
amt_min,0.0,1,3407
amt_max,0.0,1,3407
amt_median,0.0,1,3407
in_amt_sum,0.0,1,3407
in_amt_mean,0.0,1,3407
in_amt_std,0.0,1,3407
in_amt_min,0.0,1,3407
in_amt_max,0.0,1,3407
in_amt_median,0.0,1,3407
out_amt_sum,0.0,1,3407
out_amt_mean,0.0,1,3407
out_amt_std,0.0,1,3407
out_amt_min,0.0,1,3407
out_amt_max,0.0,1,3407
out_amt_median,0.0,1,3407
active_days,0.0,1,3407
txn_intensity_per_day,0.0,1,3407
txn_count_30d,0.0,1,3407
amt_30d_sum,0.0,1,3407
amt_30d_mean,0.0,1,3407
amt_30d_std,0.0,1,3407
amt_30d_median,0.0,1,3407
txn_count_60d,0.0,1,3407
amt_60d_sum,0.0,1,3407
amt_60d_mean,0.0,1,3407
amt_60d_std,0.0,1,3407
amt_60d_median,0.0,1,3407
txn_count_90d,0.0,1,3407
amt_90d_sum,0.0,1,3407
amt_90d_mean,0.0,1,3407
amt_90d_std,0.0,1,3407
amt_90d_median,0.0,1,3407
txn_count_180d,0.0,1,3407
amt_180d_sum,0.0,1,3407
amt_180d_mean,0.0,1,3407
amt_180d_std,0.0,1,3407
amt_180d_median,0.0,1,3407
txn_count_365d,0.0,1,3407
amt_365d_sum,0.0,1,3407
amt_365d_mean,0.0,1,3407
amt_365d_std,0.0,1,3407
amt_365d_median,0.0,1,3407
ratio_in_to_out,0.0,1,3407
ratio_amt_mean_to_std,0.0,1,3407
ratio_txn_30d_to_all,0.0,1,3407
ratio_amt_30d_to_all,0.0,1,3407
ratio__history_time__over__record_time,4.462425332788306,1,3407
ratio__history_time__over__issue_time,3.254304002249913,1,3407
ratio__history_time__over__zip_code,2.2988719652299388,1,3407
ratio__history_time__over__balance_limit,2.997972108492725,1,3407
ratio__history_time__over__amt_30d_sum,0.0,1,3407
ratio__history_time__over__amt_180d_sum,0.0,1,3407
ratio__history_time__over__amt_365d_sum,0.0,1,3407
ratio__history_time__over__amt_sum,0.0,1,3407
ratio__history_time__over__amt_90d_sum,0.0,1,3407
ratio__history_time__over__amt_60d_sum,0.0,1,3407
ratio__history_time__over__out_amt_sum,0.0,1,3407
ratio__record_time__over__issue_time,4.486511019521486,1,3407
ratio__record_time__over__zip_code,3.86170424117765,1,3407
ratio__record_time__over__balance_limit,2.7471383458685676,1,3407
ratio__record_time__over__amt_30d_sum,0.0,1,3407
ratio__record_time__over__amt_180d_sum,0.0,1,3407
ratio__record_time__over__amt_365d_sum,0.0,1,3407
ratio__record_time__over__amt_sum,0.0,1,3407
ratio__record_time__over__amt_90d_sum,0.0,1,3407
ratio__record_time__over__amt_60d_sum,0.0,1,3407
ratio__record_time__over__out_amt_sum,0.0,1,3407
ratio__issue_time__over__zip_code,3.7141844512424735,1,3407
ratio__issue_time__over__balance_limit,2.0417377053055996,1,3407
ratio__issue_time__over__amt_30d_sum,0.0,1,3407
ratio__issue_time__over__amt_180d_sum,0.0,1,3407
ratio__issue_time__over__amt_365d_sum,0.0,1,3407
ratio__issue_time__over__amt_sum,0.0,1,3407
ratio__issue_time__over__amt_90d_sum,0.0,1,3407
ratio__issue_time__over__amt_60d_sum,0.0,1,3407
ratio__issue_time__over__out_amt_sum,0.0,1,3407
ratio__zip_code__over__balance_limit,3.062020869684793,1,3407
ratio__zip_code__over__amt_30d_sum,0.0,1,3407
ratio__zip_code__over__amt_180d_sum,0.0,1,3407
ratio__zip_code__over__amt_365d_sum,0.0,1,3407
ratio__zip_code__over__amt_sum,0.0,1,3407
ratio__zip_code__over__amt_90d_sum,0.0,1,3407
