feature,train_pct_ends_00,test_pct_ends_00,train_pct_ends_00_or_50,test_pct_ends_00_or_50,train_pct_multiple_of_10,test_pct_multiple_of_10,train_benford_chi2,test_benford_chi2,train_missing,test_missing,suspect_score
stmt_days_since_last,1.0,1.0,1.0,1.0,0.0,0.0,1.2304005339641022,1.2244489328231491,0.5937172774869109,0.5921013264186696,0.017676964606768417
stmt_days_since_first,1.0,1.0,1.0,1.0,0.0,0.0,1.401567066268595,1.3763911938107738,0.5937172774869109,0.5921013264186696,0.01594514081852708
stmt_out_sum,0.08499690313973986,0.07921419518377694,0.13345085520987185,0.12877059569074778,0.013054457096574396,0.010519645120405577,0.14338125787436218,0.14423020241794918,0.6075355272999252,0.6065622818390346,0.01397951435758229
stmt_out_median,0.06665396159893278,0.07072243346007605,0.11115346133689075,0.11546261089987325,0.010195816856448617,0.008998732572877059,0.22190555703185857,0.23546411062625724,0.6075355272999252,0.6065622818390346,0.010683536704531937
stmt_out_min,0.10367335270856162,0.10025348542458809,0.16403830577921769,0.16007604562737643,0.0169136214207442,0.015842839036755388,0.22686255752528423,0.23193865076325854,0.6075355272999252,0.6065622818390346,0.00947691621307396
title,1.0,1.0,1.0,1.0,0.5094053851907255,0.5186995113194375,0.9924376327766802,0.983582075124052,0.0,0.0,0.009382681705238226
stmt_out_mean,0.0338748868454905,0.030925221799746515,0.05126494830625566,0.047401774397972114,0.003525656296155129,0.002661596958174905,0.27296743003808294,0.28837709621073626,0.6075355272999252,0.6065622818390346,0.008804240414624898
career,1.0,1.0,1.0,1.0,0.4162997326623683,0.40847652975691534,0.1386260135618669,0.13196501029774405,0.0487658937920718,0.04816994115887105,0.008485765571294945
stmt_in_min,0.07923937566186288,0.07739332436728207,0.08867811593535614,0.08766352854872234,0.07283944933007966,0.06956840689570852,0.04230250600127078,0.03803566607156407,0.593885564697083,0.5921511917821881,0.007908722429777696
stmt_amt_min,0.09968703976435936,0.09987775061124694,0.15960972017673047,0.1569682151589242,0.015095729013254787,0.01723716381418093,0.24609598374806518,0.25817553966032586,0.5937172774869109,0.5921013264186696,0.006710397292983914
stmt_out_max,0.10391157272857211,0.10456273764258556,0.1664681499833246,0.16451204055766794,0.015722521320691792,0.018124207858048164,0.24038612643281015,0.25040131327892606,0.6075355272999252,0.6065622818390346,0.00608235820637825
stmt_in_mean,0.011971085224918274,0.012715490891307005,0.010681891431465538,0.013571341239760362,4.6042635480454904e-05,0.00012226433549333658,1.5200928173892252,1.5296016790808513,0.593885564697083,0.5921511917821881,0.005539538706507564
installment,1.0,1.0,1.0,1.0,0.8582834704562453,0.8539443502543134,,,0.0,0.0,0.004339120201931945
days_since_history_time,1.0,1.0,1.0,1.0,0.0,0.0,0.8797134352871755,0.8690700310158661,0.0,0.0,0.004272644931788082
stmt_in_median,0.011418573599152815,0.011003790194400294,0.015009899166628298,0.013693605575253698,0.0007366821676872785,0.0011003790194400293,2.0982336766534715,2.1246969135654963,0.593885564697083,0.5921511917821881,0.004093779131894987
stmt_txn_count,1.0,1.0,1.0,1.0,0.10410530191458027,0.10183374083129584,0.6055817010611056,0.6257668348010331,0.5937172774869109,0.5921013264186696,0.004089363488925007
stmt_amt_sum,0.009710972017673049,0.009779951100244499,0.01753497790868925,0.019315403422982887,0.0004602356406480118,0.0003667481662591687,0.006114109389801154,0.007057741937283458,0.5937172774869109,0.5921013264186696,0.0035682794649700596
stmt_in_sum,0.010773976702426446,0.011615111871866977,0.018371011556701504,0.017850592982027142,0.0008287674386481882,0.0007335860129600196,0.4064136329170977,0.41137807843828256,0.593885564697083,0.5921511917821881,0.003240752539909776
stmt_in_std,0.010927198118862096,0.0106539309331374,0.009359583198856563,0.0106539309331374,0.0,0.0,0.49421168102969776,0.49190759789870037,0.5944465220643231,0.5927994415079286,0.003237736307710017
stmt_amt_median,0.012564432989690722,0.01295843520782396,0.014727540500736377,0.01393643031784841,0.0007363770250368188,0.0007334963325183374,2.3016409604989794,2.329506260924872,0.5937172774869109,0.5921013264186696,0.0030825971660399156
balance_limit,1.0,1.0,1.0,1.0,0.6069165885660731,0.6039386214824811,0.05303085128188359,0.05425540111593173,0.0024308152580403888,0.0023436720853695025,0.00307735575460336
stmt_in_max,0.00893227128320825,0.0100256755104536,0.017910585201896957,0.017850592982027142,0.0008748100741286432,0.0007335860129600196,1.3187954723722306,1.3164997264516418,0.593885564697083,0.5921511917821881,0.003051950882384543
stmt_amt_std,0.009033923303834809,0.0082017382788591,0.009402654867256638,0.009915534337128168,0.0,0.0,0.2714776081925126,0.27270979258317724,0.5943156320119671,0.5926498454173731,0.0030231729333479273
balance,0.4774495138369484,0.4773112595990825,0.48599476439790573,0.4863867557594495,0.04736350037397158,0.04976563279146305,0.10869383589141662,0.10622029799214289,0.0,0.0,0.002957113395893884
stmt_amt_max,0.008928571428571428,0.010024449877750611,0.017903166421207657,0.01784841075794621,0.0008744477172312224,0.0007334963325183374,1.3201311959252953,1.3168957059672066,0.5937172774869109,0.5921013264186696,0.0029398914649757064
days_since_record_time,1.0,1.0,1.0,1.0,0.0,0.0,2.035425675143601,2.0249239924732687,0.0,0.0,0.0029093709206366516
zip_code,1.0,1.0,1.0,1.0,0.11290201944652206,0.1106013762840331,3.170876117518096,3.1750124053664255,0.0,0.0,0.002342006040972253
stmt_out_std,0.009797297297297298,0.010139905018611218,0.009362934362934363,0.010268258246694905,0.0,0.0,0.12330236300764189,0.12378451886173136,0.612565445026178,0.6114989528273661,0.002319245362427298
term,1.0,1.0,1.0,1.0,0.11011593118922962,0.1079585120175526,0.6726268863909093,0.6785453244167299,0.0,0.0,0.0022166035519352195
stmt_amt_mean,0.019421944035346098,0.019437652811735942,0.018685567010309278,0.018459657701711492,4.602356406480118e-05,0.00012224938875305622,0.0073703652471613056,0.00762739754167393,0.5937172774869109,0.5921013264186696,0.0019363653008623177
stmt_txn_intensity_per_day,1.0,1.0,1.0,1.0,0.0,0.0,0.5902693183377753,0.6024632217315166,0.5943156320119671,0.5926498454173731,0.0017877256285314558
interest_rate,0.05661929693343306,0.05629799541238656,0.10602094240837696,0.1070609354742196,0.006544502617801047,0.006931285529071507,0.2923738054272287,0.2943147079501675,0.0,0.0,0.0017674865233889884
stmt_active_days,1.0,1.0,1.0,1.0,0.0,0.0,,,0.5937172774869109,0.5921013264186696,0.0016159510682413059
balance_accounts,1.0,1.0,1.0,1.0,0.051402393418100226,0.05285728532961005,0.09263677381962926,0.08405334716473978,0.0,0.0,0.0015407261780587206
total_accounts,1.0,1.0,1.0,1.0,0.060976065818997754,0.062381569761643565,0.13752740674220823,0.13424368692805824,0.0,0.0,0.001438341140787311
residence,1.0,1.0,1.0,1.0,0.26353777112939414,0.2627406003789768,,,0.0,0.0,0.0007971707504173531
syndicated,1.0,1.0,1.0,1.0,0.9908750934928945,0.9902762541138925,,,0.0,0.0,0.0005988393790019586
days_since_issue_time,1.0,1.0,1.0,1.0,0.0,0.0,1.5387655250418486,1.5396127868836549,0.0,0.0,0.0002917636188419827
loan,1.0,1.0,1.0,1.0,1.0,1.0,0.7165853248840981,0.7071737590350382,0.0,0.0,9.411565849059888e-05
