id,title,career,zip_code,residence,loan,term,interest_rate,issue_time,syndicated,installment,record_time,history_time,total_accounts,balance_accounts,balance_limit,balance,level,label,career_isna,payment_to_balance
0,9,0.0,221373,1,7200,36,10.95,1238631967,0,1,1238630622,472006661,17.0,9.0,36200.0,13856.0,A4,0,0,0.1111111111111111
1,8,10.0,311681,0,21300,36,12.95,1128212052,0,0,1161907665,763779041,17.0,9.0,20400.0,13773.0,B0,1,0,0.0
2,8,7.0,271562,1,10400,60,21.05,1249171509,0,0,1383958593,727143443,17.0,9.0,10800.0,2023.0,B4,0,0,0.0
3,7,2.0,522083,0,33050,36,16.4,1172882234,0,1,1214353935,687660346,17.0,9.0,24700.0,21992.0,B3,0,0,0.1111111111111111
4,8,3.0,101026,1,5200,36,14.35,1172882384,0,0,1240274527,322012875,17.0,9.0,5100.0,1669.0,B2,1,0,0.0
5,9,3.0,401866,0,10400,60,13.55,1214959795,0,0,1214958203,724466490,17.0,9.0,21300.0,14866.0,B1,1,0,0.0
6,6,Unknown,171208,0,9850,36,7.1,1220316127,0,1,1220314248,324692883,17.0,9.0,54100.0,9404.0,A1,0,1,0.1111111111111111
7,7,8.0,121061,0,33050,36,9.95,1157155445,0,0,1203813185,795398927,17.0,9.0,27600.0,18819.0,A4,1,0,0.0
8,10,10.0,281590,1,25500,60,12.75,1194048186,0,0,1302914261,527216264,17.0,9.0,32600.0,10742.0,B0,0,0,0.0
9,6,Unknown,101027,2,10400,60,18.2,1233535038,0,0,1300926704,905907330,17.0,9.0,29300.0,6762.0,B3,1,1,0.0
10,7,7.0,231417,0,11050,36,16.9,1107303536,0,0,1156552442,790217495,17.0,9.0,7900.0,6681.0,B3,0,0,0.0
11,6,Unknown,331720,0,17500,36,9.1,1141258981,0,1,1172363227,479781050,17.0,9.0,47700.0,12146.0,A3,0,1,0.1111111111111111
12,7,3.0,241453,1,26100,36,8.1,1149208474,0,0,1211417654,232589879,17.0,9.0,14900.0,9251.0,A3,0,0,0.0
13,10,10.0,231434,0,15950,60,20.85,1046650186,0,1,1137370832,642819142,17.0,9.0,10800.0,8920.0,C3,0,0,0.1111111111111111
14,9,4.0,401854,0,33050,36,10.05,1149207497,0,0,1149207618,700705256,17.0,9.0,65100.0,37534.0,A4,0,0,0.0
15,9,10.0,131103,1,29900,36,12.95,1167698290,0,1,1242864898,813890028,17.0,9.0,43900.0,7595.0,B1,0,0,0.1111111111111111
16,10,5.0,281586,0,12950,60,9.2,1167697281,0,0,1209170767,713924674,17.0,9.0,21100.0,10992.0,A3,0,0,0.0
17,10,0.0,281585,0,23000,36,7.35,1241223769,0,0,1241223019,671849963,17.0,9.0,63000.0,56618.0,A2,0,0,0.0
